color,number,comment
#F7F2DE,101,Pearly Cream
#E7D5C3,102,Peach Cloud
#F6D7CA,103,Palest Peach
#E1B4A6,104,Sandy Peach
#F8C3B3,105,Light Salmon
#EA9C8F,106,Salmon
#E77D6D,107,Deep Coral
#E57E6A,108,Coral Rose
#BE5046,109,Orange
#962D2F,110,Rust
#E1500F,111,Bright Orange
#F16E0F,112,Pumpkin Orange
#E9744F,113,Copper
#D96537,114,Sunset
#C1552D,115,Golden Glory
#FA941F,116,Solell
#F98712,117,Wild Carrot
#F4E58F,118,Pale Lemon
#F1D882,119,Saffron
#FAD25E,120,Snapdragon
#FEDE7C,121,Popcorn
#FBDC72,122,Cornsilk
#FDC84E,123,Buttered Popcorn
#FFC00C,124,Orangeade
#FFB918,125,Dark Orangeade
#EFB25D,126,Lt. Golden Tan
#EBA140,127,Persimmon
#D79E46,128,Gold
#CA8945,129,Sunburst
#EF9344,130,Marigold
#F9FADD,131,Yellow Cream
#FAF4BD,132,Mellow Yellow
#EDE31B,133,Lime
#F9ED7A,134,Light Yellow
#F8E655,135,Soft Yellow
#F0E750,136,Yellow
#FBE214,137,Yellow Finch
#F8CC5F,138,Mimosa
#F8D817,139,Dark Lemon
#FDCB00,140,Daffodil
#F9E3E9,141,Powder Pink
#EAB7D5,142,Sugar Pink
#E0B7D4,143,Delicate Mauve
#D5ACCE,144,Palest Pink
#B98BAB,145,Lt. Red Violet
#B974A5,146,Rosie Pink
#AE5594,147,Clematis
#A32363,148,Rose Splash
#9D4374,149,Wild Rose
#74214A,150,Dark Wild Rose
#7F2653,151,Raspberry
#681E40,152,Bilberry
#631C36,153,Deep Bilberry
#651F2D,154,Claret
#5E1E39,155,Burgundy
#541F2F,156,Maroon
#5C1B33,157,Plum Wine
#511C23,158,Rich Burgundy
#492533,159,Eggplant
#321E21,160,Black Wine
#EEECDB,161,Eggshell White
#F1DAC1,162,Palest Fawn
#E0D6BE,163,Creamy White
#C3B49B,164,Coffee Cream
#C8AEA3,165,Victorian Rose
#DDB3B2,166,Pink Cloud
#C5988E,167,Bronze
#CA9396,168,Blush
#9C7777,169,Pale Mauve
#966569,170,Pale Wine
#734041,171,Mocha Rose
#672F2E,172,Rusty Plum
#592F29,173,Plum
#DC9ABF,174,Petal Pink
#D37BAA,175,Rose Pink
#C0809F,176,Sunset Pink
#BA708B,177,Desert Rose
#AE476A,178,Dusty Rose
#D1639E,179,Pink Rose
#C34181,180,Magenta
#D64B6C,181,Fiesta Pink
#CB364A,182,Scarlet
#B41D1E,183,Ruby
#BF2920,184,True Red
#BB271F,185,Red
#C3321A,186,Firecracker
#AC1D28,187,Cherry Red
#951320,188,Baked Cherry
#94131F,189,Carmine
#722829,190,Red Wine
#782120,191,Wine
#A23B4D,192,Antique Red
#9D2345,193,Brandy
#A51D37,194,Crimson
#971A33,195,Chili Pepper
#8A1629,196,Grenadine
#8E1824,197,Brick
#7B2028,198,Bronze Red
#631C24,199,Dark Rust
#5F2022,200,Cranberry
#DB76B0,201,Passion Pink
#C3417E,202,Bright Pink
#C13F7F,203,Madcap Pink
#CB4881,204,Lipstick Pink
#CE4673,205,Pink Rapture
#BD225C,206,Cerise
#A22261,207,Fuchsia
#B13560,208,Pink Lady
#AB2F5D,209,Light Fuchsia
#BD2854,210,Hot Pink
#871635,211,Blood Red
#7D152D,212,Old Burgundy
#E889A8,213,Pink Blush
#E17796,214,Pink Mist
#D8687F,215,Light Cerise
#D66792,216,Pink
#CD4D77,217,Pink Aster
#C44476,218,Pink Carnation
#D8767F,219,Dusty Pink
#C13B5A,220,Deep Pink
#F4F6DF,221,White Whisper
#F6F8F0,222,Palest Ivory
#F3F6EE,223,Pale White
#D5E2FF,224,Bright White
#EFF4FF,225,Dove White
#E2E9FF,226,White
#1D2222,227,Black
#C3CCC1,228,Grey Mist
#B6CCC6,229,Blue Foam
#7D9190,230,Green Shadow
#AFCDB2,231,Dusty Green
#ABCCBE,232,Seafoam Grey
#8AA28F,233,Sea Green
#89A08E,234,Slate Grey
#57735F,235,Grecian Green
#597660,236,Slate Green
#435D48,237,Teal
#2B4335,238,Forest Green
#2C4D3B,239,Pine Green
#274130,240,Spruce Green
#A6BEB0,241,Soft Pale Green
#A8E8CA,242,Bright Mint
#8AC6B5,243,Wintermint
#AADAC6,244,Mint
#8BD3C4,245,Peppermint
#68C0AE,246,Aqua
#339481,247,Lido
#009E8C,248,Blue Turquoise
#15A48C,249,Aztec Blue
#008E7B,250,Regend Green
#006E59,251,Tropical Green
#4EAE8B,252,Lt. Sea Green
#007858,253,Dk. Sea Green
#008A51,254,Emerald
#1D7D43,255,Green
#177343,256,Festive Green
#0A7E60,257,Jade
#3A8E4C,258,Light Green
#4E863F,259,Northern Pine
#58924F,260,Clear Green
#BCDA8D,261,Lt. Celery
#C3E7A1,262,After Dinner Mint
#C8EABF,263,Palest Mint
#B0E5BB,264,Palest Green
#8DC498,265,Light Jade
#74B98D,266,Cool Mint
#71B39D,267,Marshland Green
#7ECCB1,268,Tropical Lagoon
#8CB86E,269,Dark Celery
#659B57,270,Spring Green
#9CB449,271,Presh Green
#628930,272,Meadow Green
#608A34,273,Sweet Pea
#5DB25F,274,Lt. Blue Jade
#42AF58,275,Shamrock
#557E45,276,Foilage Green
#30704A,277,Leaf Green
#3F8E63,278,Cloudy Jade
#218755,279,Bangkok Green
#247E5B,280,Med. Jade
#EEF5EC,281,Angel Blue
#D8F3F6,282,Whispering Sky
#CDEAED,283,Pale Blue
#D1E6E2,284,Skylight Blue
#CBE2DD,285,Iceburg Blue
#B6EDF0,286,Palest Aqua
#9FD8DA,287,Med. Aqua
#8DDAE3,288,Pacific Mist
#40B5C6,289,Capri
#1FB6D8,290,Turquoise
#008BAA,291,Kingfisher
#007DAB,292,Dk. Turquoise
#0088B5,293,Med. Turquoise
#30818B,294,Cyan
#32828B,295,Lagoon
#005567,296,Deep Atlantic
#335E55,297,Steel Blue
#154F53,298,Dk. Steel Blue
#193B46,299,Ocean Depths
#163839,300,Rolled Steel
#E7E6BF,301,Gream
#A9B75F,302,Green Apple
#929B4F,303,Pistachio
#B2B046,304,Chartreuse
#A2A22D,305,Sumatra Green
#7B7829,306,Avacodo
#6C6B35,307,Dk. Avacodo
#5A5941,308,Camouflage Green
#B2C5A6,309,Cream de Menthe
#8AA174,310,Smokey Sage
#6F8156,311,Light Olive
#72855E,312,Bronze Olive Light
#515C34,313,Dk. Leaf Green
#3D5130,314,Olive
#444F3C,315,Eucalyptus
#2F3525,316,Midnight Green
#3C4C39,317,Dk. Eucalyptus
#4F8661,318,Sage
#2C6747,319,Rainforest Green
#1F5934,320,Dark Green
#D7C45D,321,Goldenrod
#B89D46,322,Tawny Gold
#A48332,323,Wheat Brown
#7C632D,324,Khaki
#866436,325,Cargo
#7E6448,326,Natural Brown
#6D543C,327,Dark Oak
#4D3A2D,328,Traditional Brown
#3C312A,329,Chocolate Cake
#5B5651,330,Raven
#67514F,331,Coffee Bean
#65423F,332,Mahogony
#9A562E,333,TerraCotta
#AE4721,334,Russet
#AC925F,335,Prairie Wheat
#B79363,336,Sunkissed
#BE8E39,337,Bright Gold
#D6A058,338,Golden Lights
#D7923E,339,Burnished Gold
#AA7542,340,Auburn
#BFBD9F,341,Gravel
#B6A176,342,Med. Taupe
#D8BC94,343,Beige
#CFBA9E,344,Ash Blonde
#9B8A6A,345,Taupe
#806141,346,Brownstone
#9E745C,347,Brazil Brown
#7A573F,348,Tan
#A67850,349,Light Brown
#9A6537,350,Golden Brown
#9C673E,351,Cinnamon
#67493C,352,Old Maghonoy
#54392E,353,Med. Brown
#553428,354,Brown
#3B2320,355,Fudge Brownie
#543A2C,356,Walnut
#5A4235,357,Walnut Stain
#51372A,358,Sepia
#44312D,359,Dark Chocolate
#3E3029,360,Dark Pecan
#CDDFEA,361,Silver Lining
