color,number,comment
#FFFFFF,1,Snow White
#FFFFFF,2,White
#FFC4B8,6,Salmon Very Light
#FFC68C,8,Salmon Light
#FF9D90,9,Salmon Medium Light
#FF8087,10,Salmon Medium
#ED455A,11,Salmon Medium Dark
#DB1855,13,Salmon Dark
#995C30,22,Burgundy Very Dark
#FFEAEB,23,Carnation Ultra Light
#FFB1AE,24,Carnation Very Light
#FFD3D4,25,Carnation Light
#FF8CBF,26,Carnation Medium Light
#FFC2BF,27,Carnation Medium
#CC3377,28,Carnation Medium Dark
#E60066,29,Carnation Dark
#FED4DB,31,Blush Light
#FF806D,33,Blush Medium
#FF555B,35,Blush Dark
#FF9D96,36,Blossem Pink Light
#DB244F,38,Blossem Pink Dark
#FF6D73,40,Carmine Rose Light
#F3959D,41,Carmine Rose Medium Light
#D62B5B,42,Carmine Rose Medium
#A6005B,43,Carmine Rose Medium Dark
#A20058,45,Carmine Rose Dark
#D52756,46,Crimson Red
#E71261,47,Carmine Red
#FFEAEB,48,China Rose Very Light
#FFD5D8,49,China Rose Light
#FFCCD0,50,China Rose Medium
#E96D73,52,China Rose Medium Dark
#FF6D73,54,Rose Dark China
#FFBDCA,55,Beauty Rose Light
#DE3969,57,Beauty Rose Medium
#C94F5B,59,China Rose
#FA9790,60,Magenta Light
#FF738C,62,Magenta Medium
#E7547A,63,Magenta Dark
#C94F5B,65,Rose Very Dark Antique
#FA9790,66,Raspberry Light
#CB4E61,68,Raspberry Medium Light
#E60066,72,Raspberry Very Dark
#FFE9E9,73,Antique Rose Very Light
#FFD6D1,74,Antique Rose Light
#FF9A94,75,Antique Rose Medium Light
#CB4E61,76,Antique Rose Medium
#CB4E61,77,Antique Rose Medium Dark
#AB165F,78,Antique Rose Dark
#FFD6E5,85,Orchid Light
#F798B6,86,Orchid Medium Light
#E74F86,87,Orchid Medium
#DB3779,88,Orchid Medium Dark
#AB165F,89,Orchid Dark
#CCA3CC,90,Plum Light
#A06492,92,Plum Medium
#AB165F,94,Plum Dark
#FFD6E5,95,Violet Very Light
#F798B6,96,Violet Light
#F3CEE1,97,Violet Medium Light
#A06492,98,Violet Medium
#925582,99,Violet
#3D0067,100,Violet Medium Dark
#6D1261,101,Violet Dark
#6D1261,102,Violet Very Dark
#F3DAE4,103,Very Light Plum
#ECCFE1,108,Lavender Light
#CE94BA,109,Lavender Medium Light
#945B80,110,Lavender Medium
#91B4C5,117,Thistle Light
#A279A4,118,Thistle Medium
#7F5482,119,Thistle Dark
#E6ECE8,120,Bleuberry Light
#BBD0DA,121,Bleuberry Medium Light
#7759B3,122,Medium Bleuberry
#47375D,123,Bleuberry Dark
#000049,127,Indigo
#F7F6F8,128,Cobalt Bleu Light
#CAE2E5,129,Cobalt Bleu
#BEC1CD,130,Cobalt Bleu Medium Light
#67738D,131,Cobalt Bleu Medium
#1E4263,132,Cobalt Bleu Medium Dark
#1E3A5F,133,Cobalt Bleu Dark
#1E3655,134,Cobalt Bleu Very Dark
#849CB6,136,Wedgewood Light
#67738D,137,Wedgewood Medium
#1E4263,139,Wedgewood Dark
#9EB0CE,140,Copen Bleu Light
#67738D,142,Copen Bleu Medium
#1E4263,143,Copen Bleu Dark
#E9EEE9,144,Delft Bleu Very Light
#849CB6,145,Light Delft Bleu
#67738D,146,Delft Bleu
#1E4263,147,Delft Bleu Medium Light
#004F61,148,Delft Bleu Medium
#244967,149,Delft Bleu Medium Dark
#244967,150,Delft Bleu Dark
#000031,152,Delft Bleu Very Dark
#F0F7EF,158,Sapphire Very Light
#D5E7E8,160,Sapphire Medium Light
#AFC3CD,161,Sapphire Medium
#107F87,162,Sapphire Medium Dark
#476174,164,Sapphire Dark
#0066B3,164,Sapphire Dark
#18656F,167,Surf Bleu Very Light
#80A7A0,168,Surf Bleu Light
#1E8285,169,Surf Bleu Medium
#188086,170,Surf Bleu Dark
#BBD0DA,175,Ocean Bleu Light
#938BA4,176,Ocean Bleu
#8060BF,177,Ocean Bleu Medium
#47375D,178,Ocean Bleu Dark
#D0E0D2,185,Sea Green Light
#ABCEB1,186,Sea Green Medium Light
#00A082,187,Sea Green Medium
#53A682,188,Sea Green Medium Dark
#0E8C56,189,Sea Green Dark
#AAD5A4,203,Mint Green Light
#99BC95,204,Mint Green Medium
#318061,205,Mint Green Dark
