color,number,comment
#FFFFE3,8021,Ivory White
#F2F2F2,8024,White
#878787,8082,Medium Grey
#595959,8083,Dark Grey
#B9AFA4,8084,Ashes Of Roses
#9FABA4,8085,Aqua Gray
#A7968D,8087,Atmosphere
#917985,8088,Gray Ridge
#912D00,8089,Chocolate
#134833,8090,Green
#EFE2BF,8110,Etherial Green
#E8F6A6,8115,Dark Olive Green
#E3F241,8120,Gold / Yellow
#FEE395,8130,Popcorn
#FDA968,8135,Chamois
#CFA169,8140,Honey
#E1BA90,8174,Pink Sand
#FDD2BE,8205,Grape
#FA929A,8210,Shrimp
#FA7E84,8215,Shell Pink
#FD1813,8220,Cardinal Red
#EF1209,8225,Red
#FF7D00,8235,Pumpkin
#D17700,8240,Almond
#FB3F3F,8248,Fluo Pink
#FC1921,8250,Cardinal Red
#F2016C,8255,Fuschia
#ED171F,8260,Scarlet
#C1131E,8265,Flame Red
#CAD9C6,8310,Light Blue Green
#B2B25E,8315,Medium Green / Yellow
#9E9E37,8320,Pistachio
#EFD6CA,8325,Chalk
#B17629,8330,Tiger Eye
#7F8301,8331,Crescent Moon
#FBBBC8,8332,Pink
#FCBBB5,8333,Salmon Pink
#D15C00,8334,Orange
#929202,8340,Tamarack
#E6CABB,8341,Pale Orange
#E0A6A7,8344,Pale Salmon
#F0F0F0,8345,White
#B2B200,8346,Green / Gold
#663204,8360,Mushroom
#70700F,8361,Cypress
#470F00,8380,Dark Brown
#FAA9D3,8401,Medium Pink
#F22690,8402,Ruby Glint
#CA003B,8403,Dark Red
#FCBBC4,8405,Pink
#FEE3F1,8410,Oyster
#FDE3F1,8420,Oyster
#FBBBCF,8425,Pink
#C05FAD,8430,Lavender
#F989A0,8433,Rose Pink
#C91989,8440,Dark Pink
#A00145,8450,Burgundy
#E49ACB,8454,Light Pink
#6C0A42,8455,French Raspberry Red
#B11107,8460,Warm Red
#B082BE,8510,Purple
#884BA1,8520,Laurie Lilac
#686AB0,8525,Baja Blue
#CA2C92,8530,Dark Pink
#D362AF,8535,Lavender
#901284,8540,Plum
#691C8A,8545,Dark Purple
#3B0071,8550,Purple Maze
#CFA7BF,8553,Orchid Bloom
#E1C9E3,8574,Light Pink
#BAD8E9,8600,Ice Blue
#E3E3E3,8605,Silver Gray
#BABABA,8610,Winter Sage
#000000,8692,Black
#BAD1E5,8710,Ice Blue
#91C9E0,8715,Pale Blue
#0C479D,8720,Warrior Blue
#120C80,8725,Royal
#053C6D,8730,Salem Blue
#D1E0EE,8757,Pale Silver
#0F238C,8762,Blue
#A8D1E5,8781,Sky Blue
#093A80,8782,Royal Blue
#060F3D,8784,Navy Blue
#060D3C,8785,Navy Blue
#7DCEE2,8805,Turquoise
#1F60A9,8810,Magic Blue
#3DA639,8820,Emerald
#4FB68B,8825,Emerald Green
#00808D,8850,Calypso Green
#70C48C,8860,Sliced Lime
#5C93AE,8861,Wonder Blue
#019376,8870,Peacock Green
#18964C,8875,Medium Green
#2F7E20,8880,Green
#286017,8890,Green
#004C37,8892,Dark Green
#909859,8910,Olive Green
#A5B003,8920,Peapod
#919100,8930,Tamarack
#A8DDB9,8940,Brook Green
#007A54,8950,Medium Green
#139B89,8955,Parrot
#006445,8960,Green
#005138,8970,Dark Green
#5A5959,8980,Dark Grey
