color,number,comment
#E1E100,AG001,Golden
#BFBF00,AG002,Gold
#808080,AS001,Silver
#F3E7FA,C001,White
#FFFFF0,C003,Light Beige
#FFFFE1,C004,Yellow Beige
#E6F066,C005,Green Gold
#E6F066,C006,Green Gold
#E6F066,C007,Green Gold
#FFFF66,C008,Lemon Yellow
#FFF0CC,C009,Pale Gold
#FFFA99,C010,Gold
#F5F066,C011,Darker Gold
#FFE64B,C012,Mid Gold
#FFF500,C013,Orange Gold
#FFFA99,C015,Pale Gold
#F0DCAA,C016,Creamy Beige
#FFFA99,C017,Gold
#FFCC00,C018,Copper
#FFCC00,C020,Copper
#FFCCB4,C021,Very Pale Peach
#FFB4A0,C024,Pale Peach
#F09982,C025,Peach
#FF9933,C026,Carrot
#FF9933,C027,Carrot
#FF9933,C029,Carrot
#FF6600,C030,Orange
#FF3300,C031,Tomato Red
#FF3300,C032,Tomato Red
#FF3300,C033,Tomato Red
#FF0000,C037,Red
#FF004B,C038,Deep Red
#AA0033,C040,Rich Red
#DCDCE0,C041,Light Grey
#FFCCFF,C042,Pale Mauve
#FFCCFF,C044,Pale Mauve
#FFCCD7,C046,Mauve Pink
#FFCCD7,C048,Mauve Pink
#FADCDC,C049,Pink
#DC99CC,C050,Dark Mauve
#FF99AA,C051,Plum Pink
#FFA0CC,C052,Dark Pink
#FF6699,C053,Bright Pink
#D70078,C054,Dark Rose
#FF0078,C056,Hot Pink
#CC00B4,C058,Plum
#66194B,C060,Dark Maroon
#F0DCD7,C061,Brownish Cream
#E6CCBE,C062,Mushroom cap
#DCC8A0,C063,Camel
#F5CCAF,C064,Brownish Cream
#FF9966,C065,Tangerine
#FFB4A0,C066,Peach
#CC9933,C067,Bronze
#CC9933,C068,Bronze
#B4824B,C069,Light brown
#B4824B,C070,Light brown
#999933,C071,Brownish green
#B99966,C072,Burnished brown
#B99966,C073,Burnished brown
#993333,C075,Red brown
#993373,C076,Maroon
#993333,C077,Red brown
#8C5F41,C078,Brown
#783C33,C079,Reddish brown
#663333,C080,Very dark brown
#EBCCD7,C081,Pale Lavender
#CC8CCC,C084,Purple
#E6BEDC,C085,Darker Lilac
#CC99BA,C086,Dusky Mauve
#DC99CC,C087,Dark Mauve
#CC8CCC,C088,Purple
#9968DC,C090,Jacaranda
#7D0099,C094,Purple
#783399,C096,Ultra Marine
#3300CC,C099,Marine Blue
#660299,C100,Aubergine
#DCFFE6,C101,Pale Turquoise
#33BFCC,C102,Medium Aqua
#33BFCC,C103,Medium Aqua
#00B9CC,C104,Bright Aqua
#00EBFF,C106,Medium Turquoise
#00EBFF,C107,Medium Turquoise
#AFFFF5,C109,Light turquoise
#4199AF,C110,Medium Teal Blue
#5086CC,C111,Medium Blue
#4199AF,C112,Medium Teal Blue
#3399CC,C113,Teal Blue
#336699,C114,Teal Blue
#417D87,C119,Dark Sea Green
#336666,C120,Dark Sea Green
#CCF9FF,C121,Very Pale Blue
#CCF9FF,C123,Very Pale Blue
#F0F5FA,C124,Silver Blue
#F0FAFF,C125,Sky Blue
#AAC8FF,C128,Medium Blue
#AAC8FF,C129,Medium Blue
#7896DC,C130,Medium Blue
#6666CC,C131,Marine Blue
#3333C8,C132,Bright Blue
#0000B4,C133,Bright Blue
#0000B4,C134,Bright Blue
#3300A0,C135,Ultramarine
#3300CC,C136,Marine Blue
#660299,C137,Aubergine
#3264AA,C138,Marine Blue
#500078,C139,Aubergine
#00004B,C140,Dark navy
#99FFDC,C141,Light Green
#A0CCB4,C142,Light Teal Green
#3CDCAA,C143,Light teal Green
#A0CCB4,C144,Light teal Green
#99F0CC,C145,Light teal Green
#33CCA5,C146,Light teal Green
#33FF99,C147,Mint Green
#33CC99,C148,Green
#DCFFF0,C151,Pale Green
#1E9750,C152,Emerald Green
#33CC99,C154,Light teal Green
#3CAF78,C155,Teal Green
#009982,C156,Emerald
#339999,C158,Dark Aqua
#337866,C159,Dark Slate Green
#CCFFCC,C161,Pale Green
#DCFFCC,C162,Very Pale Green
#E1FF99,C163,Pale Green
#99CC33,C165,Medium Green
#82BF35,C166,Med Olive Green
#33CC33,C167,Medium Green
#33CC99,C168,Green
#339978,C169,Slate Green
#339978,C170,Slate Green
#CCCC96,C171,Light Khaki Green
#999933,C172,Brownish Green
#999933,C174,Med Leaf Green
#506E33,C176,Dark Leaf Green
#003C14,C177,Dark Leaf Green
#8CA0BE,C180,Med Leaf Green
#DCDCE0,C181,Light Silver Grey
#CCD2CC,C182,Light Silver Grey
#CCCCD2,C183,Med Silver Grey
#CCCCD2,C184,Med Silver Grey
#E1CCB4,C185,Pale Grey Gold
#CCB4AA,C186,Med Grey Brown
#8C877D,C187,Dark Grey
#BEBEC3,C189,Silver Grey
#9999A5,C190,Dark Grey
#999999,C191,Dark Grey
#7F7F7F,C192,Dark Grey
