color,number,comment
#F7F7F7,2168,White
#F0F0F0,2169,Bright White
#000000,2170,Black
#EBE7DB,2172,Antique White
#EDC9D4,2181,PALE Salmon Pink
#FCBBD1,2182,LT Salmon Pink
#F88DAC,2187,MD Salmon Pink
#E6CFD9,2189,PALE Pink
#FFBCE0,2193,LT Pink
#FDA5CB,2198,Pink
#E5566D,2199,MD Pink
#ED72AA,2202,DK Pink
#EBE1FF,2208,PALE Pink Ice
#EA0F6B,2218,Pink Lady
#C42B70,2219,Fushia
#D8458A,2220,MD Fushia
#D73D63,2222,LT Cranberry
#A52A46,2223,MD Cranberry
#A61755,2226,DK Cranberry
#E18CBE,2228,MD Bright Pink
#D1A1D4,2235,MD Desert Rose
#A83261,2241,MD Bright Plum
#851C56,2243,DK Bright Plum
#B54285,2245,DK Fushia
#660B29,2247,DK Burgandy
#EED1CA,2250,PLST Peach
#E9ACA5,2253,LT Peach
#FF8A8E,2256,MD Peach
#FF696D,2260,DK Peach
#F27C8A,2270,DK Salmon Pink
#FD98B4,2271,MD Pink Carnation
#F4475B,2275,DK Pink Carnation
#A83651,2278,Ruby Red
#C95042,2283,DK Red Rust
#612533,2287,DKST Burgandy
#D63A32,2291,Bright Red
#B8142A,2295,Cherry Red
#A11919,2297,Satin Red
#850000,2303,DK Satin Red
#74050B,2306,DKST Satin Red
#8A090D,2307,Red Wine
#C4486B,2315,Brandy
#943751,2317,MD Burgandy
#C27AA1,2320,Desert Rose
#C75F8A,2331,LT Fushia
#4A0000,2342,Black Wine
#F7F7B7,2368,PALE Yellow
#F7F199,2371,LT Yellow
#FFEF0B,2376,Yellow
#FFE357,2379,Buttered Popcorn
#F5C85F,2380,Buttercup
#E9CA00,2385,Bright Yellow
#F0EEB7,2388,PALE Mellow Yellow
#FAE9A0,2390,LT Buttered Popcorn
#FFE664,2403,Bright Popcorn
#FFC485,2410,LT Mock Orange
#FFC53D,2411,LT Apricot
#FFBF47,2412,MD Apricot
#FFCB65,2413,Apricot
#F7B634,2414,DK Apricot
#E69122,2416,MD Mock  Orange
#FF9217,2426,DKST Apricot
#FFC99F,2428,PALE Peach Fuzz
#FFB797,2430,MD Peach Fuzz
#FDCDC3,2433,LT Melon
#FCA998,2435,Melon
#FF8865,2437,DK Melon
#E37214,2451,Bright orange
#D23A00,2454,Orange
#FF7954,2455,Sunset Orange
#FF6600,2458,Red Orange
#CD2E0E,2465,DK Red Orange
#FACEC3,2468,PLST Salmon
#FFC8BF,2473,PALE Salmon
#BA522F,2484,Terra Cotta
#DCD2BD,2490,Beige
#BD938A,2499,LT Rose Taupe
#C98142,2504,LT Terra Cotta
#E8D8CA,2508,PLST Mink
#D9CABE,2509,LT Mink
#FFBCB6,2513,LT Salmon
#FFAF8B,2514,MD Salmon
#F3AABA,2515,LT Rose
#9E6A74,2521,MD Ash Rose
#AD7580,2545,LT Ash Rose
#7D3844,2546,DK Ash Rose
#DBBFAA,2552,PALE Cameo
#E9D5BA,2553,Bisque
#752526,2567,DK Brick
#BFB1A8,2572,PALE Mauve Gray
#D1CCC9,2575,PALE Gray
#7C6174,2581,MD Mauve
#6B343A,2586,Mahogany
#6D4F45,2602,Eggplant
