color,number,comment
#FFFFF3,0,Winter White
#FFFFFF,100,Snow White
#020E27,101,Midnight Navy
#00499A,102,Saphire
#DBFFFF,103,Light Blue
#092523,104,Olive Green
#6DD07D,106,Pale Green
#5F0E1F,107,Brown
#A00B1B,108,Aurora Red
#FF8E94,109,Azalea
#FFD293,110,Impala
#F7CB1D,111,Buttercup
#FFF15D,112,Sunburst
#0F86DE,113,Bright Blueberry
#4D98FF,114,Medium Blue
#855597,115,Mulberry
#9C235A,116,Cherrystone
#FF4B1A,117,Fluo Orange
#FF7B25,118,Soleil
#F7E400,119,Sunshine Yellow
#63C330,120,Electric Green
#AC7139,121,Cocoa Brown
#F9DEA2,122,Linen
#191E21,123,Black Stallion
#7A7573,124,Charcoal
#8AE4FF,125,Sky Blue
#6FB6FE,126,River Mist
#002E73,127,True Blue
#41A6E0,128,Medium blue
#48D2E1,129,Aqua Pearl
#006336,130,Dark Green
#545F2F,131,Pale Green
#585F3D,132,Medium Green / Yellow
#C6C6BA,133,Light Green / Yellow
#5A5543,134,Dark Grey / Green
#F7ABB1,135,Emily Pink
#F1B9AF,136,Damask Rose
#2C458C,137,Ultra Blue
#7B9BC8,138,Delft Blue medium
#008673,139,Isle Green
#0C7367,140,Teal Green Dark
#6ACEAA,142,Green Light Bright
#C9A9FF,143,Tulip
#3B2259,144,Purple Majesty
#6F0F41,145,Purple Ice
#FF4942,146,Red
#FF9665,147,Tangerine
#FFE243,148,Yellow
#FF8667,150,Light Tangerine
#62245C,151,Hollyhock
#614AAD,152,Violet
#BA817D,153,Dusty Pink medium ST17
#6D6C68,154,Cloudburst
#3B464A,155,Dark Navy
#35393B,156,Black
#2A1C13,157,Black
#352118,158,Dark Brown
#755C49,159,Bagby Green
#FFE6AC,160,Blonde
#918462,161,Light Green / Yellow
#BFDA59,162,Spring Fern
#AABF49,163,Lime
#F06377,164,Dusty Rose
#57B095,165,Emerald Green
#C754FF,166,Cindy Purple
#A7E8F2,167,Pacific Mist
#007480,168,Dark Aqua Green
#717046,169,Dark Green / Yellow
#58E210,170,Fluorescent Green
#FF4329,171,Fluo Pink
#D9FF00,172,Lemon
#EA5D87,173,Dark Pink
#EC3E56,174,Salmon Medium Dark
#2B0B13,175,Black
#3C0A20,176,Parrot Green dark
#0F3728,178,Ivy
#113E49,179,Deep Teal
#312C23,181,Midnight Metal
#2D4D73,182,Federal Blue
#868C84,183,Dark Silver
#E9D49B,184,Candy Tan
#7B5F15,185,Earthen Tan
#B6AFA5,186,Ashes Of Roses
#0F7CDE,187,Medium Royal Blue
#4B7C4C,188,Dark Green
#0E352B,189,Ivy
#320A10,190,Black Cherry
#EDDCA2,191,Straw Yellow
#865A32,192,Light Cocoa
#35192E,193,Dark Purple / Navy
#573914,194,Mocha Brown / Very Dark
#CE832B,195,Pollen Gold
#643B15,196,Mushroom
#B39066,197,Lark
#8CD3FF,199,Aquamarine
#AD133F,200,Dark Red / Orange
#C6BEAA,202,Overcast
#685E59,203,Plum Kitten
#A3D796,204,Light Green / Yellow
#011423,205,Midnight Navy
#00245B,206,Dark Indigo
#8B8A87,207,Wild Dove
#775B50,208,Chocolate Brown
#E9E5BB,209,Medium Yellow
#9DA482,210,Cypress
#899E86,211,Blue Green
#63A483,212,Green Spruce
#C35451,213,Dark Rust
#698E5C,214,Green Pepper
#A36834,215,Tan Brown
#BE6279,216,Raspberry Mauve
#A1422A,218,Bark Medium Dark
#7DC5A1,219,Teal Green
#3A70B4,220,Medium Purple
#171224,221,Charcoal
#21090A,223,Black
#AE591A,224,Coppertone
#0B1021,225,Charcoal
#A6BA76,226,Lettuce Heart Green
#6F0F1D,227,Brown
#EEDA88,228,Pale Yellow / Gold
#BABA77,229,Light Brown
#363D28,231,Ebony Black
#14351D,232,Olive Green
#B34C52,233,Terra Cotta Medium Dark
#5893B2,234,Blue
#801333,235,Maroon
#003544,236,Deep Slate Blue
#4C664C,237,Kahki Green
#963639,238,Dark Orange / Red
#CE4C5D,239,Raspberry Medium Light
#FFC0C7,240,Mountain Rose
#372F23,242,Dk. Black Brown
#ABFFF2,243,Light turquoise
#C88A32,244,Golden Brown medium
#0A201C,245,Olive Green
#2A2D2C,246,Night Sky
#383333,247,Dark Grey
#1C2317,248,Black
#FCE6EC,249,Blush
#FFEEBF,250,Ecru
#887444,251,Olive Green
#A45C56,252,Antique Mauve Very Dark
#E3BE93,253,Cornsilk
#3A452B,254,Pale Yellow / Green
#EC6792,255,Light Cerise
#930A1A,256,Dark Red
#475B20,257,Palmetto
#C0462D,259,Brick Very Dark
#1E1915,260,Midnight Blue
#58779F,261,Medium Blue
#FFA71D,265,Mango
#E6F2FF,268,White
#001F4A,272,Blue Ribbon
#41211A,275,Dark Oak
#005372,283,Peacock
#468080,292,Teel
#006033,294,Shamrock Green
#004333,295,Evergreen
#14201D,300,Black Stallion
#DE1956,301,Salmon Dark
#CB394E,302,Scarlet
#7F5419,304,Fawn Dark
#DAB434,305,Pollen Gold
#171512,306,Charcoal
#591A18,311,Brown
#379543,313,Dark Green
#002542,314,Navy
#AD915F,315,Prairie Wheat
#B3E5FF,319,Sun Blue
#C28D64,323,Bamboo
#DAAE52,325,Mustard
#B5947A,327,Natural
#BEB4A1,330,Sand
#11181E,332,Charcoal
#BD9081,334,Salmon
#343A51,343,Dark Grey / Blue
#986E62,346,Hazel
#E7C73A,347,Fluo Yellow
#164141,350,Shaded Spruce
#D76233,351,Sunset
#3D9D30,355,Kelly Green
#B9ECFF,391,Sun Blue
#A38F6C,443,Olive Drab
#8FB5DF,450,Lake Blue
#D0D6D6,452,Illusion Blue
