color,number,comment
#F0F0F0,0,White
#9CBEDB,3,Wistaria Violet
#F0D5B3,12,Beige
#557FBA,15,Corn Flower Blue
#E0CAC6,20,Silver
#CC2838,24,Deep Rose
#FCDBA1,25,Linen
#FBFB20,43,Yellow
#056060,57,Peacock Blue
#000000,100,Black
#F19FBC,122,Salmon Pink
#A0074E,126,Dark Fuchsia
#F36FB1,133,Light Lilac
#FF4209,148,Vermilion
#E70268,149,Red
#D5ECEB,150,Light Blue
#FC8DAF,152,Flesh Pink
#FD566E,155,Pink
#E50033,158,Carmine
#E94C64,212,Amber Red
#B87432,224,Clay Brown
#E4983B,242,Khaki
#682408,255,Light Brown
#FE470C,264,Reddish Brown
#FAAD4E,322,Pumpkin
#FFEFA8,331,Cream Brown
#FBE96A,334,Harvest Gold
#FAB600,335,Orange
#FAB700,336,Tangerine
#FEFE7B,342,Lemon Yellow
#F2990E,354,Deep Gold
#FFEB84,370,Cream Yellow
#EECC0C,404,Brass
#BAA308,414,Russet Brown
#CBE9A2,442,Fresh Green
#B6DD11,444,Lime Green
#518921,446,Moss Green
#C8DCC8,461,Mint Green
#77C487,463,Leaf Green
#00301E,467,Deep Green
#B0CF78,473,Dark Olive
#0D2A07,476,Olive Green
#78C79F,483,Teal Green
#005127,485,Emerald Green
#74C6B1,505,Seacrest
#B1E2DF,512,Sky Blue
#085A6F,564,Electric Blue
#0A59A3,575,Ultramarine
#006390,586,Blue
#062934,588,Prussian Blue
#9285C3,604,Lavender
#C4A0CF,623,Lilac
#B480C4,624,Violet
#670070,625,Magenta
#691588,635,Purple
#450451,636,Royal Purple
#AC9A61,706,Warm Gray
#1D1803,717,Dark Brown
#6E6452,734,Gray
#A8ABAD,745,Pewter
#10140C,747,Dark Gray
