color,number,comment
#F0F0F0,1,White
#A8A8A8,5,Silver
#0E1F7C,7,Prussian Blue
#FFFFB3,10,Cream Brown
#A8DEEB,17,Light Blue
#2584BB,19,Sky Blue
#E3F35B,27,Fresh Green
#FE370F,30,Vermilion
#2A1301,58,Dark Brown
#4B6BAF,70,Corn Flower
#FCBBC4,79,Salmon Pink
#F993BC,85,Pink
#F64A8A,86,Deep Rose
#C70156,107,Dark Fuchsia
#FDD9DE,124,Flesh Pink
#FEB343,126,Pumpkin
#F0F970,202,Lemon Yellow
#FFFF00,205,Yellow
#FFD911,206,Harvest Gold
#FEBA35,208,Orange
#FE9E32,209,Tangerine
#E8A900,214,Deep Gold
#FEE3C5,307,Linen
#B27624,323,Light Brown
#BA9800,328,Brass
#7D6F00,330,Russet Brown
#B54C64,333,Amber Red
#D15C00,337,Reddish Brown
#D15400,339,Clay Brown
#D0A660,348,Khaki
#D8CCC6,399,Warm Gray
#0A55A3,405,Blue
#0B3D91,406,Ultramarine
#134A76,415,Peacock Blue
#095BA6,420,Electric Blue
#9ED67D,502,Mint Green
#00673E,507,Emerald Green
#66BA49,509,Leaf Green
#70BC1F,513,Lime Green
#2F7E20,515,Moss Green
#435607,517,Dark Olive
#132B1A,519,Olive Green
#008777,534,Teal Green
#A8DDC4,542,Seacrest
#686AB0,607,Wistaria Violet
#915FAC,612,Lilac
#6A1C8A,613,Violet
#4E2990,614,Purple
#913697,620,Magenta
#4F5556,704,Pewter
#293133,707,Dark Gray
#ED171F,800,Red
#B2AFD4,804,Lavender
#F73866,807,Carmine
#003822,808,Deep Green
#E49ACB,810,Light Lilac
#FFF08D,812,Cream Yellow
#878787,817,Gray
#EFE3B9,843,Beige
#770176,869,Royal Purple
#000000,900,Black
