color,number,comment
#F0F0F0,1,White
#A8A8A8,5,Silver
#0E1F7C,7,Prussian Blue
#FFFFB3,10,Cream Brown
#A8DEEB,17,Light Blue
#2584BB,19,Sky Blue
#E3F35B,27,Fresh Green
#FE370F,30,Vermilion
#2A1301,58,Dark Brown
#4B6BAF,70,Corn Flower
#FCBBC4,79,Salmon Pink
#F993BC,85,Pink
#F64A8A,86,Deep Rose
#C70156,107,Dark Fuchsia
#FDD9DE,124,Flesh Pink
#FFFF00,205,Yellow
#FEBA35,208,Orange
#FE9E32,209,Tangerine
#E8A900,214,Deep Gold
#FEE3C5,307,Linen
#B27624,323,Light Brown
#BA9800,328,Brass
#D15400,339,Clay Brown
#0A55A3,405,Blue
#095BA6,420,Electric Blue
#9ED67D,502,Mint Green
#00673E,507,Emerald Green
#70BC1F,513,Lime Green
#2F7E20,515,Moss Green
#008777,534,Teal Green
#915FAC,612,Lilac
#4E2990,614,Purple
#913697,620,Magenta
#4F5556,704,Pewter
#293133,707,Dark Gray
#ED171F,800,Red
#E49ACB,810,Light Lilac
#EFE3B9,843,Beige
#000000,900,Black
#F0F0EC,1618,Snow White
