color,number,comment
#E6E8FF,1,White
#ECE659,2,Light Yellow
#EFDA17,3,Yellow
#F1D700,5,Yellow
#BDB984,6,Pale Yellow / Green
#99852E,8,Medium Yellow / Green
#F2A800,11,Medium Orange
#F2AF1E,12,Light Orange
#D9A931,13,Light Orange
#C49C30,14,Brown / Gold
#BE8A10,15,Orange / Brown
#AA7317,16,Brown / Olive
#9D7249,17,Brown
#B27100,18,Orange / Brown
#969350,19,Medium Green / Yellow
#857F35,20,Dark Green / Yellow
#E9E9E8,22,White
#BEA83B,23,Medium Green / Yellow
#9A8652,24,Pale Brown
#AA8D54,25,Medium Yellow
#E2DEDA,26,Light Orange / Red
#A88C66,27,Pale Brown
#8E5B24,28,Medium Brown
#A17439,29,Pale Brown
#A05807,31,Orange / Brown
#E9EBE3,101,Light Yellow
#EAEBCE,103,Light Yellow
#F1DA97,104,Light Orange
#EBDF81,105,Pale Yellow / Gold
#F18F00,109,Medium Orange
#F28B00,120,Medium Orange
#F17C00,122,Orange
#EB5C00,124,Orange / Red
#B8A063,125,Pale Green / Yellow
#A89034,126,Medium Green / Yellow
#685923,129,Dark Green / Yellow
#CD9342,131,Pale Orange / Brown
#C88331,132,Medium Orange / Brown
#F1CC67,133,Yellow Gold
#F4C447,134,Yellow Gold
#F5BE22,135,Medium Orange
#D0AA2E,136,Medium Yellow
#E0D0BE,137,Light Orange
#9C732C,138,Medium Brown
#EBE8D0,139,Pale Orange
#E9E8DB,140,Light Yellow
#AF6400,141,Orange / Brown
#E4CF97,150,Light Yellow / Orange
#D23F00,202,Dark Orange
#E8C5BB,203,Pale Orange
#F3AD9A,205,Pale Orange
#EF8F78,206,Medium Orange
#AE372C,207,Orange / Red
#E96005,208,Orange
#AD2B16,209,Light Orange / Red
#A63025,210,Dark Orange / Red
#C0352C,211,Orange / Red
#EB9396,212,Light Orange
#E99864,213,Pale Orange
#DB3100,215,Orange / Red
#DFB9A7,218,Pale / Orange
#AA4C28,219,Brown
#DF5700,220,Orange
#E1B0B2,221,Medium Pink
#F18935,222,Medium Orange
#9D7D2D,223,Medium Green / Yellow
#C99F78,225,Light Red / Orange
#D6566E,227,Medium Pink
#A62449,229,Dark Pink
#6F2632,230,Brown
#5B1D28,231,Dark Brown
#972F33,238,Dark Orange / Red
#7F2F34,240,Brown
#E0B7A1,242,Pale Orange
#BB855C,245,Pale Red / Orange
#BD724E,246,Brown
#AB5F22,247,Orange / Brown
#8A5435,248,Brown
#804B28,250,Brown
#804C43,251,Dark Brown
#EFBA90,252,Light Orange
#EDAF79,253,Medium Orange
#EE9C55,254,Medium Orange
#D36A32,257,Orange
#B26534,258,Dark Orange / Brown
#ED5700,260,Orange
#BC5D3D,262,Brown
#A14C42,265,Dark Red / Orange
#76352F,267,Dark Brown
#6E3336,271,Dark Brown
#9F5341,273,Medium Brown
#BD001A,300,Medium Red / Orange
#A66780,301,Medium Purple
#E3788A,302,Medium Pink
#A1002B,303,Dark Red / Orange
#D98392,306,Medium Pink
#A90049,307,Red
#A05566,308,Medium Pink
#CF367A,309,Dark Pink
#80273D,311,Brown
#772E42,312,Brown
#E7BFD1,313,Light Pink
#E7C2DE,316,Light Pink
#B95778,317,Dark Pink
#B9DDBD,318,Light Green / Yellow
#8C2C4D,319,Brown
#DA4C55,321,Medium Red / Orange
#8C3657,322,Brown
#A00025,323,Dark Red
#77264A,324,Dark Purple
#874450,326,Dark Brown
#D53E62,327,Red
#733E56,329,Dark Purple
#701E51,330,Dark Purple
#D0539E,331,Medium Pink
#C20F7D,332,Dark Pink
#E39BC6,335,Light Pink
#BC6396,337,Medium Pink
#622E4D,338,Dark Purple
#BE5C90,339,Medium Pink
#974675,340,Medium Purple
#A2426C,341,Medium Purple
#863463,342,Medium Purple
#AD003A,343,Dark Red
#A80024,344,Red
#8F0031,345,Dark Red
#49213C,346,Dark Purple
#7B1035,347,Dark Purple
#35222C,348,Dark Brown
#641F34,349,Brown
#592037,350,Dark Purple
#ECCFDE,355,Light Pink
#E7BED3,356,Light Pink
#D7608F,358,Dark Pink
#D22667,360,Red
#C7175E,361,Red
#8C0032,363,Red
#E3A2BE,364,Light Pink
#D66D87,365,Medium Pink
#C85284,366,Medium Pink
#DC6562,367,Dark Red / Orange
#D9233F,368,Dark Red / Orange
#B02782,369,Medium Purple
#DD3039,370,Warm Red
#C50030,372,Red
#BC0059,373,Dark Red
#A5006E,376,Dark Red
#9D005D,377,Dark Red
#BD273D,378,Dark Red / Orange
#44232C,380,Dark Purple
#DE72B7,381,Medium Pink
#E27EAA,382,Pink
#B8005D,383,Dark Pink
#A69C8F,400,Warm Gray
#B797A0,401,Light Purple
#5F4D32,402,Dark Green / Yellow
#9E7375,404,Pale Brown
#A67D8A,406,Light Purple
#6E5164,408,Medium Purple
#A4A2A5,409,Light Grey
#A19A7D,410,Pale Green / Yellow
#75685F,411,Medium Brown
#73635D,412,Medium Brown
#7B6F56,413,Medium Green / Yellow
#534542,414,Dark Brown
#846449,416,Medium Brown
#C4C0AF,417,Light Grey / Green
#5F3D2C,418,Dark Brown
#947F64,419,Light Green / Yellow
#AB977D,420,Light Brown
#9D9184,421,Light Brown
#C0AEA1,422,Pale Orange
#D1D0CB,423,Light Green
#7D7261,424,Medium Green / Yellow
#A9A399,425,Light Green / Yellow
#C1B6A8,426,Light Brown
#868177,427,Dark Grey
#675F50,428,Dark Grey
#B7B4A5,429,Light Grey / Green
#D3CDA6,430,Light Green / Yellow
#9F9E8B,431,Pale Green / Yellow
#BFA589,432,Pale Orange
#9B9472,433,Medium Green / Grey
#594B33,435,Dark Green / Grey
#D0B388,436,Light Brown
#A09B86,439,Pale Green / Grey
#A06B5D,440,Orange / Brown
#5B403C,441,Dark Brown
#CBC0BF,442,Light Purple
#453230,443,Black
#8E7979,445,Medium Brown
#787664,446,Medium Green / Yellow
#88665E,447,Medium Brown
#BBAC9A,449,Light Brown
#A18A81,450,Light Brown
#7A4C3E,451,Dark Brown
#C7C8BA,452,Light Green / Yellow
#5B4034,453,Brown
#483835,455,Black
#302230,456,Dark Purple / Navy
#C2AB95,457,Pale Orange
#8F6C4D,459,Medium Brown
#6E523A,460,Brown
#664128,461,Brown
#4B342D,462,Dark Brown
#3E3033,463,Black
#4A2425,466,Dark Brown
#3A2128,467,Dark Brown
#E6C6C7,471,Medium Pink
#A89976,472,Pale Green / Yellow
#D4CDC3,473,Light Grey / Green
#C8B4A3,474,Light Brown
#A0894C,475,Light Green / Yellow
#99764C,476,Pale Brown
#8F6634,477,Medium Orange / Brown
#B2838B,479,Pale Pink
#6F4B3B,480,Brown
#54392D,481,Dark Brown
#C8BAB5,482,Light Pink
#BAA89C,483,Light Brown
#9A8171,484,Pale Brown
#9A897E,485,Light Brown
#8E7260,486,Pale Brown
#70523C,487,Medium Brown
#3B4021,488,Green
#E9E8BF,489,Light Yellow
#67BB39,501,Green
#BECEBD,503,Light Green
#1BB79E,504,Medium Green / Blue
#77A28E,505,Pale Green / Blue
#439386,507,Medium Green / Blue
#00533D,510,Dark Green
#234D30,512,Dark Green
#4D864B,513,Dark Green
#88A980,514,Medium Green
#008642,519,Green
#223F2F,520,Dark Green
#9AD9E0,521,Light Blue / Green
#1EB2A7,523,Medium Blue / Green
#00ACAB,524,Medium Green / Blue
#66C7CA,525,Light Blue / Green
#00A297,526,Medium Green / Blue
#004D2D,527,Dark Green
#008A6F,528,Dark Blue / Green
#008C7D,529,Medium Green / Blue
#005D4D,530,Green
#00605D,531,Dark Green / Blue
#9DBDAE,532,Pale Green / Blue
#6C927A,533,Pale Blue / Green
#3F7464,534,Dark Green
#008668,535,Blue / Green
#60A299,536,Medium Green / Blue
#A6DB90,537,Light Green / Yellow
#1B473F,538,Dark Green / Blue
#377B6F,539,Dark Blue / Green
#B5C09F,540,Dark Green / Yellow
#243C35,541,Dark Green / Blue
#A0C395,542,Light Green
#9DD7D2,543,Light Green / Blue
#699041,547,Green / Yellow
#5EC39F,551,Medium Green
#657354,552,Medium Blue / Green
#007249,553,Green
#006B31,555,Green
#499D62,556,Green
#00894D,557,Green
#007744,558,Green
#005D2E,559,Green
#78B439,560,Green / Yellow
#82BF4C,562,Green / Yellow
#2F3B29,563,Dark Green
#8A8C7A,564,Pale Grey
#537C3B,565,Medium Green
#4BAA82,569,Green
#3C7948,570,Dark Green
#52A02D,571,Green / Yellow
#13542C,573,Green
#208F6B,574,Medium Green
#5A5B1C,575,Dark Green / Yellow
#3F6B3C,578,Dark Green
#385B30,579,Dark Green
#006D3E,580,Green
#487661,581,Dark Green
#128B7D,582,Green / Blue
#8BA44F,583,Medium Green / Yellow
#7A832D,584,Medium Green / Yellow
#818544,585,Medium Green / Yellow
#2D523F,586,Dark Green
#6A7237,589,Dark Green / Yellow
#1C322F,590,Dark Blue / Green
#1C302F,592,Dark Blue / Green
#555E43,595,Medium Green / Yellow
#005B62,596,Blue / Green
#0098AA,597,Dark Blue / Green
#35894A,598,Dark Green
#223B4C,601,Dark Blue
#778AB2,602,Medium Blue
#5369A4,603,Medium Purple
#38427C,604,Medium Purple
#2A3A75,605,Dark Blue
#34475B,606,Dark Blue / Green
#1B4E79,608,Dark Blue
#AECBD4,609,Light Blue / Green
#94D5E6,610,Light Blue / Green
#88B7CA,611,Pale Blue / Green
#00A7CE,612,Medium Blue / Green
#0093C2,613,Blue / Green
#4EA6D8,614,Light Blue
#0067AD,615,Medium Blue
#0079B9,616,Medium Blue
#48A3D1,619,Light Blue
#007CB8,620,Medium Blue / Green
#4673AF,621,Medium Blue
#6EA3B0,622,Medium Green / Blue
#2E8997,623,Medium Green / Blue
#006570,624,Medium Green / Blue
#005A63,625,Dark Green / Yellow
#003589,626,Blue
#69A29E,627,Pale Green
#214CA2,628,Royal Blue
#203988,629,Royal Blue
#00758C,630,Blue / Green
#2D3E95,631,Dark Blue
