color,number,comment
#ECF0FF,B1003,White
#E9EEF2,B1008,Pale Silver
#E6EAB2,B1156,Bright Yellow
#F2E99E,B1171,PaleYellow
#DAEFA8,B1178,Dark Olive Green
#E7EF70,B1181,Pale Yellow
#EDE97F,B1182,Medium Yellow
#E0E980,B1183,Pale Yellow
#E1FF9F,B1190,Dark Olive Green
#DEE45B,B1195,Pale Yellow
#C8FF4E,B1197,Fluo Yellow /  Green
#D5E72C,B1198,Dark Green
#D2E443,B1199,Dark Green
#E7D32F,B1214,Pale Beige
#E8FF45,B1220,Gold / Yellow
#E8C332,B1222,Fluo Yellow
#E8CA70,B1233,Pale Yellow
#ECEC2C,B1234,Pale Yellow
#EDD790,B1235,Pale Yellow
#F1D766,B1236,Cream
#F5DC00,B1237,Gold / Yellow
#FDFB00,B1238,Gold / Yellow
#EFE700,B1239,Gold / Yellow
#E3DA00,B1240,Fluo Orange
#E7B741,B1256,Mustard Yellow
#F5C100,B1261,Fluo Yellow
#E6A82D,B1265,Gold / Yellow
#E7B922,B1269,Mustard Yellow
#E99D0F,B1270,Gold / Orange
#E69D00,B1271,Dark Gold / Orange
#EFA100,B1273,Dark Gold / Orange
#E6B000,B1282,Dark Gold / Yellow
#EBBB00,B1284,Fluo Yellow / Green
#F1BE00,B1286,Dark Green
#FFD400,B1290,Medium Yellow
#FFBC00,B1293,Fluo Orange
#EDBC86,B1328,Peach
#EDDCB3,B1339,Medium Yellow
#EAD2B2,B1345,Pale Peach
#F0D897,B1360,Pale Yellow
#DEC07C,B1371,Pale Gold
#F2BF84,B1394,Peach
#CD9933,B1413,Gold
#BD8B21,B1415,Gold
#C88629,B1418,Gold / Orange
#E6B746,B1423,Yellow / Gold
#CC9700,B1431,Cream
#E8A02F,B1432,Gold / Orange
#C6A01F,B1435,Gold
#B4A300,B1439,Green / Gold
#AF922F,B1464,Green / Gold
#EEF2FF,B1719,White
#F4846A,B2120,Salmon Pink
#FF475C,B2129,Fluo Pink
#D9B596,B2140,Pale Peach
#FF8D40,B2146,Orange
#FADDCF,B2153,Pale Pink
#F0A292,B2158,Salmon Pink
#EBB799,B2159,Peach
#EED2BF,B2160,Cream / Pink
#C52420,B2224,Red
#E14225,B2225,Orange
#DA5128,B2244,Orange
#D43512,B2245,Red
#DC5C4C,B2246,Dark Salmon Pink
#FF4148,B2252,Fluo Pink
#D15555,B2256,Dark Salmon Pink
#CF3F4D,B2275,Dark Salmon Pink
#964E2F,B2285,Medium Brown
#D63C5A,B2291,Dark Pink
#A0652E,B2292,Tan Brown
#9C5E3F,B2298,Medium Brown
#FD3363,B2299,Fluo Pink
#C17444,B2310,Copper
#BC8A61,B2316,Fawn
#AF8461,B2328,Fawn
#88563C,B2330,Dark Brown
#90684C,B2351,Medium Brown
#B57F33,B2358,Gold
#A88C52,B2367,Gold
#AB691C,B2375,Tan Brown
#FA7111,B2428,Fluo Orange
#E24F00,B2431,Orange
#FF4820,B2450,Fluo Orange
#DC5C3A,B2452,Orange
#D9582C,B2458,Medium Orange
#CA5A29,B2463,Rust
#D6693A,B2464,Copper / Orange
#E89100,B2470,Dark Yellow
#DC6D00,B2485,Gold / Orange
#E89E51,B2488,Pale Gold
#FF6B20,B2494,Fluo Orange
#EAF1F3,B2704,Ivory
#E5EBEC,B2707,Ivory
#EF91A8,B3105,Medium Pink
#FF7BA5,B3114,Medium Pink
#F2B0CB,B3135,Pale Pink
#F1A8AD,B3137,Pale Pink
#F2B7AB,B3146,Pale Salmon Pink
#DBACA4,B3154,Pale Salmon
#EB99B5,B3160,Medium Pink
#D66F8E,B3163,Dark Pink
#D0A3AC,B3164,Pale Pink
#EBBBCF,B3167,Pale Pink
#EE94C1,B3168,Medium Pink
#EFD8DD,B3170,Pale Pink
#F4BBD4,B3174,Pale Pink
#F3C7E5,B3178,Pale Pink
#87636D,B3319,Pink / Brown
#AB5774,B3364,Dusky Pink
#832344,B3375,Maroon
#861F47,B3377,Maroon
#EF4F7F,B3432,Fluo Pink
#DE4B71,B3435,Medium Pink
#C1435C,B3439,Dusky Pink
#FF2569,B3440,Dark Fluo Pink
#C21E54,B3456,Dark Pink
#B9004A,B3483,Dark Pink
#D0005F,B3487,Dark Pink
#D5275D,B3488,Dark Pink
#9D2D7F,B3610,Dark Purple
#C40069,B3632,Dark Pink
#CB2776,B3645,Dark Pink
#E2699D,B3650,Medium Pink
#FF6FA3,B3654,Fluo Medium Pink
#D5488D,B3660,Dark Pink
#CC3B86,B3670,Dark Pink
#D95296,B3671,Medium Pink
#D2589D,B3672,Medium Pink
#C5579D,B3674,Medium Pink
#782C80,B3684,Purple
#B7006C,B3690,Dark Pink
#A62D6F,B3698,Dark Pink
#900030,B3796,Dark Red
#9F0020,B3831,Dark Red
#AA0029,B3845,Dark Rust Red
#D3464E,B3869,Dark Salmon
#C11A33,B3872,Medium Red
#BA0024,B3884,Medium Red
#AF0029,B3891,Dark Rust Red
#B40028,B3898,Medium Red
#AB0026,B3928,Dark Red
#5F1F28,B3949,Dark Maroon
#651F37,B3951,Dark Maroon
#671C40,B3955,Dark Maroon
#7F062D,B3960,Dark Maroon
#6F1E32,B3976,Dark Maroon
#7A2D37,B3979,Pale Maroon
#851639,B3989,Maroon
#96202E,B3992,Medium Rust Red
#9C97D6,B4117,Lilac
#887EA0,B4143,Dark Lilac
#A9A2D2,B4144,Lilac
