color,number,comment
#FFFFFF,0,White
#FFECBF,0,Ecru
#FFFFFF,1,White
#9F3845,150,Dusty Rose Ultra Very Dark
#F2BCC5,151,Dusty Rose Very Light
#CFA296,152,Shell Pink Medium Light
#DEBCD9,153,Violet Very Light
#4D2E3D,154,Grape Very Dark
#908BC3,155,Blue Violet Medium Dark
#8B9AC5,156,Blue Violet Medium Light
#ABC2DE,157,Cornflower Blue Very Light
#465082,158,Cornflower Blue Medium V
#A7B4CD,159,Gray Blue Light
#8290AE,160,Gray Blue Medium
#667594,161,Gray Blue
#BDDBE6,162,Blue Ultra Very Light
#569571,163,Celadon Green Medium
#9FCC8D,164,Forestgreen Light
#DAD878,165,MOSS Green Very Light
#BFBB20,166,Moss Green Medium Light
#9F8447,167,Yellowbeige Very Dark
#B4C3C1,168,Pewter Very Light
#8B9A94,169,Pewter Light
#945B80,208,Lavender Very Dark
#CE94BA,209,Lavender Dark
#ECCFE1,210,Lavender Medium
#F3DAE4,211,Lavender Light
#9C294A,221,Shell Pink Very Dark
#DB8073,223,Shell Pink Light
#FFC7B0,224,Shell Pink Very Light
#FFF0E4,225,Shell Pink Ultra Very L
#8F3926,300,Mahogany Very Dark
#D16654,301,Mahogany Medium
#BC0061,304,Christmas Red Medium
#FFE76D,307,Lemon
#D62B5B,309,Rose Dark
#000000,310,Black
#004F61,311,Navy Blue Medium
#3A5467,312,Navy Blue Light
#A35A5B,315,Antique Mauve Very Dark
#DC8D8D,316,Antique Mauve Medium
#A78B88,317,Pewter Grey
#C5C6BE,318,Steel Grey Light
#555F52,319,Pistachio Green Very Dark
#8A9978,320,Pistachio Green Medium
#E71261,321,Christmas Red
#516D87,322,Navy Blue Very Light
#BC1641,326,Rose Very Dark
#3D0067,327,Violet Dark
#7F5482,333,Blue Violet Very Dark
#738CAA,334,Baby Blue Medium
#DB244F,335,Rose
#244967,336,Navy Blue
#A279A4,340,Blue Violet Medium
#91B4C5,341,Blue Violet Light
#C22443,347,Salmon Very Dark
#DC3D5B,349,Coral Dark
#ED455A,350,Coral Medium
#FF8087,351,Coral
#FF9D90,352,Coral Light
#FFC4B8,353,Peach Flesh
#BD492F,355,Terra Cotta Dark
#E2725B,356,Terra Cotta Medium
#5F705B,367,Pistachio Green Dark
#B5CEA2,368,Pistachio Green Light
#F3FAD1,369,Pistachio Green Very Light
#B88A57,370,Mustard Medium
#C49B64,371,Mustard
#CBA26B,372,Mustard Light
#9D3C27,400,Mahogany Dark
#FFBEA4,402,Mahogany Very Light
