color,number,comment
#EFECD9,ML1001,Eggshell White
#F6D8D0,ML1002,Whisper Pink
#F5C7C7,ML1003,Crystal Pink
#F2B0B2,ML1004,Sweet Pink
#FE9F9B,ML1005,Flamingo Pink
#EA696E,ML1006,Dusty Rose
#EB5F60,ML1007,Country Rose 2
#F7C8C2,ML1008,Light Coral
#EEB7B0,ML1009,Peach Skin
#F1A9AA,ML1010,Pale Pink
#EE979F,ML1011,Medium Pink
#FA6C78,ML1012,Brick
#FE5677,ML1013,Dark Pink
#E84564,ML1014,Medium Pink
#E44063,ML1015,Pink
#DC1E4A,ML1016,Cerise
#FCDDC1,ML1017,Peach
#FFB3B5,ML1018,Corsage
#F07A7A,ML1019,Dark Peach
#DB6879,ML1020,Antique Pink
#F9BAAB,ML1021,Flesh Pink
#FC9194,ML1022,Azalea
#FE5E66,ML1023,Begonia
#F62D3D,ML1024,Fluo Pink
#E50915,ML1025,Fire Engine Red
#FFD1DB,ML1026,Delicate Mauve
#FCAAC0,ML1028,Petal Pink
#EC638F,ML1029,Begonia
#F24E80,ML1030,Fluo Pink
#EB3D72,ML1031,Azalea
#DA1B3A,ML1032,N / A
#F2BAC5,ML1033,Light Mauve
#E2A2BC,ML1034,Light Pink
#D9A3C5,ML1035,Orchid
#C374A1,ML1036,Desert Rose
#B14880,ML1037,DK Fushia
#C53067,ML1038,Dark Pink
#BE2B61,ML1039,Ruby Glint
#F197B0,ML1040,Medium Pink
#FD79A0,ML1041,Medium Pink
#DE587D,ML1042,Cranberry medium
#CD4577,ML1043,Pink Rapture
#BE3A61,ML1044,Dark Pink
#B02850,ML1045,Candy Apple Red
#53190B,ML1046,Dark Brown
#CE9991,ML1047,Brownish pink
#A15F63,ML1048,Marsh Rose
#8A3538,ML1049,Raspberry Very Dark
#753239,ML1050,Wine
#FFEEDB,ML1051,Beige
#FFDBC1,ML1052,Flesh Light
#FEBCA4,ML1053,Cinnamon Light
#FFA698,ML1054,Champagne Pink
#F77E6D,ML1055,Blush Medium
#F44043,ML1056,Fluo Pink
#DE3A45,ML1057,Desert Rose
#DD2E33,ML1058,Fiery Red
#CF2B29,ML1059,Christmas Red BR
#B62F35,ML1060,Orange
#580205,ML1061,TH Burgundy
#FF6672,ML1062,Bitteroot
#FB4D44,ML1063,Red
#E52937,ML1064,Persimmon
#E42022,ML1065,Ruby Red
#CB1B1D,ML1066,Wild Fire
#D11313,ML1067,Carmine
#DD1E19,ML1068,Fire Engine Red
#B9232F,ML1069,Warm Red
#9D2028,ML1070,Cabernet
#8B1D26,ML1071,Brick
#67181D,ML1072,Brown
#832324,ML1073,Formula One
#9A2223,ML1074,Aurora Red
#492A28,ML1075,Deep Walnut
#F6E9D9,ML1076,Bridal Blush
#FFE5D6,ML1077,Rosewater
#FDECC0,ML1078,Ecru
#FDBB8B,ML1079,Pooh
#FF9159,ML1080,Summer Splendor
#FE7F3C,ML1081,Orange
#FE6637,ML1082,Bijol
#FC5125,ML1083,Fluorescent Orange
#FF4528,ML1084,Fluo Pink
#FA3628,ML1085,Paprika
#FD482D,ML1086,Fluo Pink
#FF4632,ML1087,Fluo Pink
#FD342A,ML1088,Paprika
#FFEEE0,ML1089,Light Coral
#FEB1AB,ML1090,Carnation Very Light
#FF7B6C,ML1091,Blush Medium
#FC3B45,ML1092,Fluo Pink
#EACBC6,ML1093,Medium Pink
#F4C2C3,ML1094,Pink Glaze
#DA9EA0,ML1095,Hyacinth
#CA777F,ML1096,Deep Mocha
#CF535D,ML1097,China Rose
#E4949D,ML1098,Sea Pink
#CA3644,ML1099,Strawberry Red
#A32B34,ML1100,Red Berry
#FED8D5,ML1101,Pink Dogwood
#FEC6B9,ML1102,Peony Light
#EE9390,ML1103,Light Orange
#C66165,ML1104,Coral Flame
#B8464E,ML1105,Chrysanthemum
#C95965,ML1106,Medium Orange / Red
#A83837,ML1107,Dark Orange /  Brown
#FFF0D7,ML1108,Eggshell
#F4D4BF,ML1109,Cream / Pink
#D09287,ML1110,Brandied Apricot
#BD726C,ML1111,K. A. Bronze
#93404A,ML1112,Dark Brown
#F3DBD1,ML1113,Chalk
#EDC4BE,ML1114,Pink Mist
#EDC1B8,ML1115,Pale Orange
#DEA5AC,ML1116,Pale Salmon
#CE7C8A,ML1117,Festive Pink
#B55F68,ML1118,Baroque Rose
#A75056,ML1119,Scalloped Coral
#E9B5B9,ML1120,Bisque
#EC9CA5,ML1121,Medium Pink
#D06B7B,ML1122,Med Plum
#B85D6E,ML1123,Red Violet
#B85866,ML1124,Berry Red
#943C54,ML1125,Medium maroom
#C3D5AB,ML1126,Mint
#A2BA86,ML1127,Palest Green
#9BD3AC,ML1128,LT Jade
#729E83,ML1129,Creme de Menthe
#3D673F,ML1130,Green Dust
#2A4E42,ML1131,Harbor Green
#DEFFEF,ML1132,Pale Green
#C0FFF7,ML1133,Pale Green
#A6EFDC,ML1134,Island Waters
#63E9DE,ML1135,Seafoam
#6BE5D8,ML1136,Seafoam
#44DED5,ML1137,Light Blue / Green
#1B7A5A,ML1138,Jade
#62E5BB,ML1139,Light teal Green
#7DD1C2,ML1140,Tropical Wave
#37CCD3,ML1141,Lilac Silk
#3DB0B5,ML1142,Bright Aqua
#3DD7E1,ML1143,Capri
#50CCC2,ML1144,Aquamarine
#3BA4C4,ML1145,Horizon Blue
#F1E89D,ML1146,PaleYellow
#D0D68E,ML1147,Lemon
#B1BC78,ML1148,Nile
#878749,ML1149,Cone
#696937,ML1150,Dk. Avacodo
#CED3AA,ML1151,Palm Leaf
#E1FFE0,ML1152,Pastel Green
#A6BE9C,ML1153,Sprucestone
#68BD82,ML1154,Zephyr Green
#52926F,ML1155,Celadon Green Medium
#427E5C,ML1156,Evergreen
#E4F4C7,ML1157,Loden Green Very Light
#C3CB7E,ML1158,Avocado Green Light
#98AA60,ML1159,Leaf Green
#507355,ML1160,Elm Green
#497A5C,ML1161,Blue Green-dark
#294F33,ML1162,Dark Green
#234626,ML1163,Wreath Green
#E4FFCA,ML1164,Pale Green
#D7FFDC,ML1165,Pastel Green
#B7FAC5,ML1166,Slightly Green
#9ACE9E,ML1167,Medium Mint Green
#4EA45B,ML1168,Vibrant Green
#3C8045,ML1169,Leaf Green
#A7A35A,ML1170,Bronze
#9A984B,ML1171,French Toast
#6F7640,ML1172,Lt. Olive
#353F1A,ML1173,Special Green
#323F13,ML1174,Black Pine
#2C3B24,ML1175,Bronze Green
#EBF6BE,ML1176,Avocado Very Light
#E3F6B4,ML1177,Dark Olive Green
#8FD886,ML1178,Light Jade
#7EA85C,ML1179,Forest Green medium
#478542,ML1180,Dark Green
#2D8A3A,ML1181,Signal Green
#128A40,ML1182,Kelly
#EDFFE8,ML1183,Silver Grey
#ECFFA6,ML1184,Dark Olive Green
#A4C672,ML1185,Pastoral Green
#8CC264,ML1186,Lime
#3C7723,ML1187,Green
#617F3F,ML1188,Spearmint
#47622F,ML1189,Green / Yellow
#E2D85C,ML1190,Aurora
#AD9936,ML1191,Medium Green / Yellow
#AD9E3F,ML1192,Golden Olive
#6B5C21,ML1193,Dark Green / Yellow
#B0AA5E,ML1194,Seaweed
#82773F,ML1195,Seafrost
#666F30,ML1196,Medium Palmetto Green
#805F02,ML1197,Earthen Tan
#C6C082,ML1198,Rich Vanilla
#576237,ML1199,Pale Green
#474C12,ML1200,Dark Olive
#EFFEF9,ML1201,Shallow Green
#D2FEFD,ML1202,Teal Ultra Light
#B4F3EB,ML1203,Sky Blue
#8CDED2,ML1204,Seafrost
#F4FFFA,ML1205,Silver Tinsel
#E2FFFD,ML1206,Light Blue
