color,number,comment
#EDE1E4,100,Oyster
#F0CCD8,101,Pale Lavender
#F1BBCD,102,Sweet Lilac
#F3ABBF,103,Carnation
#F197AF,104,Medium Pink
#EC7A9B,105,Floral Pink
#E25D86,106,Dark Pink
#D84376,107,Medium Pink
#F4CBBF,110,Cloud Pink
#F3BFB0,111,Peach Melba
#F6957F,113,Flamingo
#F1CCCF,116,Light Pink
#DE949B,117,Sea Pink
#EDBFD5,123,Light Pink
#EC97C0,124,Medium Pink
#EA86B1,125,Pink Petunia
#DC7AAB,126,Pink
#CE5598,127,Medium Pink
#B3317A,128,Dark Pink
#9E1C61,129,Rebecca Rose
#E4BFD8,130,Darker Lilac
#E0A9D0,131,Impatient
#C68CB7,132,Lavender Medium Light
#C07AAF,133,Violet
#9F6598,134,Plum Medium
#89407B,135,Deep Violet
#7E3A71,136,Dark Red
#7A356B,137,Dark Purple
#642A54,138,Pale Purple
#502545,139,Medium Purple
#EDAFA9,140,Pink Petal
#EB9793,141,Emily Pink
#E78B88,142,Peach Bloosom
#DE6564,143,Dark Red / Orange
#CD5650,144,Dark Salmon Pink
#C64947,145,Dark Salmon
#B52D39,147,Terra Cotta
#A42938,148,Wildfire
#EBB9C4,151,Shell
#E99DB3,152,Medium Pink
#E8879F,153,Dusty Rose
#E87991,154,Medium Pink
#DC4961,155,Cerise
#D83C57,156,Dark Pink
#C1344D,157,Dusky Rose
#E7E0E0,160,Silver Gray
#EDD1C9,161,Rosewater
#E7B9B1,163,Light Peach
#BF8389,165,Light Pink
#A95E6A,166,Rose Wine
#9D565F,167,Mauvewood
#904E4E,168,Dark Brown
#FBAD8C,169,Coral Reef
#FF9B6B,170,Light Orange
#F06B37,171,Golden Brown
#EC5C26,172,Red Pepper
#EA5A37,173,Orange
#F2B3A5,180,Soft Coral
#EB8483,181,Peach Bloosom
#E97574,182,Tea Rose
#E67667,184,Medium Orange
#DF604C,185,Dark Salmon Pink
#D13B39,186,Tomato
#BE323F,188,Burgundy
#B92C40,190,Poinsettia
#A22336,192,Wildfire
#8E2334,193,Burgundy
#952A42,194,Perfect Ruby
#7D253A,195,Russet
#712A35,196,Wine
#6B2E37,197,Wine
#632B35,198,Warm Wine
#562B36,199,Chocolate
#00815B,200,Green Dazzle
#9CA993,201,Laurel Green Medium Light
#8AAA90,202,Surf Bleu Light
#76917B,203,Spring Garden
#50725D,204,Harbor Green
#3E5B4A,205,Evergreen
#3A5647,206,Grass Green Very Dark
#9F9F64,208,Chartreuse / Bright
#949453,210,Medium Green / Yellow
#807F44,212,Medium Green / Yellow
#6D6D32,214,Medium Palmetto Green
#62632E,216,Khaki
#5F6034,218,Olive Drab
#C2D8D3,219,Pastel Blue
#95C6BF,220,Bridal Turquoise
#389E97,221,Sea Green
#008D8C,222,Navigate
#007A7C,223,Light Green / Blue
#00706C,224,M. D. Green
#D0DB91,226,Lemon
#CBDE7B,227,Green Oak
#8FBA5C,228,Lime
#80AE4D,229,Medium Green / Yellow
#609B47,231,Pear
#509352,232,Sage
#1F8955,233,Kelly
#B0AC90,234,Spray Green
#A5A17C,235,Sage Green
#969371,236,Medium Green / Grey
#7A7759,237,Covert Green
#676045,238,Military Olive
#5C553E,239,Dark Grey / Green
#C1D1B5,243,Blue Green / Medium
#8AA482,244,Medium Green
#597459,245,Juniper Medium Dark
#52664B,246,Grass Green Dark
#425A45,247,French Green
#3C5544,248,Grass Green Very Dark
#394B3A,249,Mitchell Green
#CCD0A2,251,Pastel Green
#AACAAF,252,Sea Green Medium Light
#649C7A,253,Grass Harper
#4D8A6D,254,Jade Medium
#397C62,255,Dark Blue / Green
#205E45,256,Green Petal
#39554A,257,Enchanted Sea
#384740,258,Mitchell Green
#2F3E33,259,Grey Wool
#C1E1B9,261,Light Green / Yellow
#80CF95,262,Pale Aqua
#5BA771,263,Green
#00825E,264,Green Dazzle
#007D5E,265,Jade
#0D775E,266,Jade
#C6C77F,272,Light Pistachio
#BBB75A,273,Tarnished Gold
#9B9E48,274,Pistachio
#92984E,275,Medium Green / Yellow
#7F8A4D,276,Medium Palmetto
#5A6E29,277,Meadow
#BEA663,282,PaleGreen-Yellow
#A78E3F,283,Olive
#957A2B,284,Medium Yellow / Green
#6F5C2C,285,Desert Cactus
#BFA764,286,PaleGreen-Yellow
#908051,287,Antique Bronze
#7F7042,288,Olive Green
#73643C,289,Moss
#67BBAA,291,Moss
#1D857A,292,Surf Bleu Medium
#07615D,293,Peacock Blue
#285859,294,Dark Bottle Green
#6B726A,295,Sedona Sage
#525750,296,Granite
#54625D,297,Dark Gray
#3D4A46,298,Dark Army Green
#36433F,299,Black
#B9D5DE,301,Ice Blue
#94C5D8,302,Moderate Blue
#689CB9,303,Pale Purple
#4A87A8,304,Cendre Blue
#2A7297,305,Petrol Blue
#2A5A7F,306,Imperial Blue
#21547C,307,Lake Blue
#1E456A,308,Dark Blue
#2C415C,309,Dark Navy
#98AAB6,310,Blue Fog
#6F8A9C,312,Country Blue
#5C7083,314,Dark Grey / Blue
#455966,316,Petrol Blue
#3E4E5D,318,Grey Pewter
#354855,320,Dark Blue / Green
#AFCCDB,331,Crystal Blue
#6C96BA,332,Pale Purple
#335F8A,333,Imperial Blue
#224670,334,Navy Blue
#2B3655,335,Dark Navy
#ABBDBD,340,Cloud Blue
#7A8F8F,341,Grey
#647D82,342,Trellis
#4D636A,343,Dark Grey / Blue
#41555A,344,Midnight
#BED1DB,351,Bleuberry Medium Light
#99C5DA,352,Moderate Blue
#7AA7C5,353,Sky Blue
#4789AE,354,Pale Purple
#275379,355,Blue
#234267,356,Dark Blue
#243B5E,357,Dark Blue
#29324E,358,Colonial Blue
#3B3948,359,Soot
#2F2D39,360,Nightblu Arctic
#B1CCDC,361,Crystal Blue
