color,number,comment
#1C1C1C,1000,Midnight Blue
#E6E1DE,1005,Silver Gray
#EAE7DB,1016,Light Yellow
#DCD6C1,1030,Bone White
#EFC585,1130,Peach
#EDD59E,1195,Candy Tan
#CCC7AA,1365,Beige Brown Light
#EDE695,1405,Wheat
#917638,1415,Autumn Green
#E3BB56,1440,Star Gold
#E3E176,1445,Mustard
#FAD94E,1455,Aurora
#D5D960,1460,Pale Yellow
#F8C847,1480,Star Gold
#E6AB58,1565,Toast
#F2AB37,1570,Manila
#E08A25,1585,Goldenrod
#EA881D,1605,Goldenrod
#E77F37,1625,Amberglow
#D67E42,1645,Sunburst
#E0997B,1660,Melon
#E56B41,1695,Coral Rose
#E25A23,1730,Hazel
#DF5526,1770,Orange
#D68D6A,1790,Brass Medium
#EC8C4D,1810,Rich Brown
#D3833A,1850,Splinter
#9E563D,1950,Chocolate
#81432E,1956,Light Cocoa
#A95B33,2065,Medium Brown
#523432,2100,Dark Brown
#2C2125,2335,Black
#5E4235,2585,Brown
#7B5E43,2605,Medium Brown
#7E6350,2610,Medium Brown
#4F3A2E,2645,Traditional Brown
#825B43,2670,Light Cocoa
#726C58,2735,Medium Brown
#775D54,2755,Fungi
#D9C4AD,3130,Nude Gold
#C4A182,3165,Sirocco
#DABC94,3180,Beige
#BB9273,3200,Champagne
#8E7264,3255,Coconut
#776553,3275,Medium Green / Yellow
#2D1217,3340,Black Red
#491925,3380,Dark Oak
#9A3B37,3430,Red Fruit
#832C2B,3450,Burgundy
#D17353,3545,Toast
#DA523A,3570,Orange
#CC2527,3590,Red Orange
#D36151,3665,Deep Sea Coral
#91767F,3893,Lasting Cocoa
#825055,4125,Crushed Berry
#682A35,4160,Warm Wine
#551B39,4295,Dark Purple
#3C1E2E,4360,Dark Brown
#3F333C,4416,Dark Grey
#5C2639,4466,Beet Red
#801F3E,4500,Maroon
#AA2732,4550,Paprika
#953040,4565,Perfect Ruby
#A33141,4580,Dark Mulberry
#BA313A,4585,Currant
#D23528,4595,Saffron
#DE465D,4610,Raspberry
#E15266,4625,Calypso Coral
#C02E49,4700,Dusky Rose
#AB2B5C,4731,Light Fuchsia
#B62D52,4736,Wildfire
#B92B60,4740,Ruby Glint
#CF5A8B,4805,Carmine Rose
#CD2D58,4810,Teaberry
#A23B50,4830,Raspberry Medium Dark
#A9465E,4845,Baroque Rose
#E35B63,4865,Bashful Pink
#E35D86,4870,Dark Pink
#E25987,4911,Dark Pink
#DD6B8E,4941,Dark Pink
#E58DA0,5020,Dusty Rose Light
#DD7C71,5040,Rose Wine Medium
#E8CECD,5080,Light Pink
#E5BEBE,5120,Pale Orange
#E6ADA9,5136,Flesh Pink
#E59EB3,5150,Medium Pink
#E7A2B1,5185,Medium Pink
#B07DA8,5188,Regal Orchid
#9D6894,5240,Plum Medium
#8F5E89,5260,Medium Purple
#743B54,5280,Dark Purple
#6C3169,5284,Peony
#881D51,5300,Granet / Very Dark
#791C50,5315,Dark Wild Rose
#7A1C50,5330,Dark Wild Rose
#A22F6A,5335,Burgundy Rose
#7E2E40,5340,Winterberry
#893661,5385,Medium Purple
#532B35,5400,Chocolate
#593A5D,5415,Port Wine
#764E6B,5435,Crushed Grape
#785969,5455,Smokey Grey
#362E40,5470,Dark Maroon
#281D26,5560,Black
#36223C,5575,Dark Maroon
#543173,5710,Purple Accent
#422466,5720,Ultraviolet
#4D256B,5727,Purple Accent
#5F307E,5729,Dahlia
#927DA1,5827,Iris
#9F858D,5840,Silver Lilac
#C8ADC1,5845,Satin Wine
#4B3870,5865,Dark Purple
#171631,5885,Midnight Blue
#5B568D,5900,Royal Blue
#344459,5990,Dark Blue / Green
#555F7A,6008,Coastal Fjord
#2F4187,6010,Ultra Blue
#54629F,6020,Medium Blue
#696F9F,6036,Bleached Denim
#848ABA,6260,Blue
#A4A8C1,6280,LightPurple
#739AB7,6350,Dusk Blue
#97BFC1,6440,Snow Blue
#7FBAD4,6445,Peacock Blue Light
