color,number,comment
#000000,1000,Classic Black
#FFFFFF,1001,Pure White
#A51100,1002,Cardinal Red
#F3BBCE,1003,Baby Pink
#F375C6,1004,Pink Kiss
#F1DBDF,1005,Whisper Pink
#F3C9D3,1006,Gentle Blush
#F4B2C1,1007,English Rose
#F39EBC,1008,Sweet Pea
#F77AB4,1009,Rosy Blush
#D71F85,1010,Passion Pink
#FFB0B7,1011,Rose Sunset
#F3789B,1012,Bubblegum Pink
#91004B,1013,Very Berry
#DB4D69,1014,Carnation
#FFA48A,1015,Georgia Peach
#FF8B7C,1016,Coral Reef
#F4587A,1017,Apricot Dream
#F54359,1018,Dark Salmon
#FFB7AE,1019,Petal Peach
#FF8F70,1020,Tangerine
#FBCE92,1021,Whipped Papaya
#FFC19C,1022,Frosted Peach
#FFA02F,1023,Marigold
#E98300,1024,Citrus Burst
#FF7000,1025,Orange Slice
#FF6D42,1026,Dark Mango
#E37222,1027,Fiery Sunset
#FB4F14,1028,Hunter Orange
#DD4814,1029,Fall Harvest
#CD202C,1030,Candy Apple
#882332,1031,Rummy Raisin
#A70232,1032,Pomegranate
#A1006B,1033,Azalea
#C50084,1034,Primrose
#772059,1035,Mulled Wine
#920075,1036,Fuchsia
#DCD6B2,1037,Cornsilk
#C6BC89,1038,Macadamia
#F8E498,1039,Yellow Plumeria
#F8DE6E,1040,Maize
#FFBC3D,1041,Cantaloupe
#EBE8B1,1042,Soft Sunlight
#EEEC83,1043,Lemon Drop
#F2EE72,1044,Canary Yellow
#F3EC7A,1045,Daffodil
#FADC41,1046,Sun
#FED100,1047,Dandelion
#F3CF45,1048,Buttercup
#FADA63,1049,Dried Banana
#EFBD47,1050,Ginger Root
#EAAB00,1051,Goldenrod
#CE8E00,1052,Old Gold
#FFCB4F,1053,Butternut
#C7B37F,1054,Antique Lace
#B3B38C,1055,Malt
#C2C2A0,1056,Ecru
#D2C295,1057,Sandy Shore
#827C34,1058,Light Avocado
#B5A300,1059,Spring Leaf
#F8E498,1060,Almond Cream
#B19B00,1061,Split Pea
#DDB99A,1062,Honey Butter
#C59217,1063,Pale Caramel
#A25022,1064,Light Cinnamon
#D55C19,1065,Carrot
#AA272F,1066,Paprika
#CFC3C3,1067,Dove Gray
#C9CAC8,1068,Silver Lining
#B2B4B3,1069,Storm Cloud
#C6C6BC,1070,Platinum
