color,number,comment
#FFFFFA,10,White
#FFFFFF,15,White
#000000,20,Black
#C1BDC3,104,Vapor Blue
#95918E,107,GS Gray
#757A85,108,Medium Grey
#CDCDCD,109,Medium Silver
#54615E,111,Dark Gray
#D8DAD7,124,Natural
#95A499,141,Jadeite
#D4D5CD,142,Lilac Hint
#DCE3EB,145,Cream
#F0F0E1,150,Natural White
#827887,152,Gray Ridge
#B7B6B7,156,Light Grey / Green
#DDE057,221,Pale Yellow
#DDD785,232,Charlock
#E8F1AA,241,Bright Yellow
#FDF8BC,251,Pale Yellow
#FFFFC9,260,Pale Lemon
#FFFFEC,270,Ivory White
#96A14A,345,Pistachio
#BFC174,352,Leek Green
#ADB854,442,Lime
#A7A57D,453,Sage Green
#8B9359,454,Medium Olive Green
#806D50,465,Medium Brown
#FFFFCD,505,Pale Lemon
#FFD738,506,Yellow
#FFFFE9,510,Ivory White
#FFFFCB,520,Pale Lemon
#D7BF85,532,Cocoon
#DBCB2C,542,Pale Beige
#C9B82C,545,Medium Yellow
#A97C3F,551,Gold / Yellow
#F9F369,580,Pale Yellow
#FFEE43,590,Lemon
#FFE03D,600,Yellow
#FFEE34,605,Canary Yellow
#FFCB25,610,Buttercup
#FEE357,615,Star Gold
#FFF96F,620,Pale Yellow
#FCFA6B,625,Pale Yellow
#FFF089,630,Pale Yellow
#FFF7C9,635,Pale Lemon
#F9E251,640,Star Gold
#FFFFD9,660,Ivory White
#FFFFF5,670,White
#CFC3B4,672,Stainless Steel
#F29B39,702,Gold / Orange
#D4AD25,704,Medium Yellow
#FAD725,713,Canary
#A89A33,726,Medium Green / Yellow
#A1A086,732,Pale Green / Grey
#4F4F2E,747,Green / Yellow
#DDC9A5,761,Pale Peach
#F9AC1B,800,Light Orange
#FFD42A,805,Buttercup
#E2AF23,811,Mustard Yellow
#D99517,821,Goldenrod
#F0C773,822,Pale Yellow
#FFE27B,830,Sunshine
#AC8151,842,Gold
#E7C99B,851,Maize
