color,number,comment
#EBEDE0,3,Summer Shower
#F7F0E8,5,Star White
#FAEDDE,10,Gardenia
#F5E8D9,15,Bridal Blush
#EDE8DE,17,Lily White
#000000,20,Black
#B3B5B0,106,Highrise
#ABADA6,109,Blue Gray
#8A8585,112,Frost Gray
#B5B5B3,123,Storm Gray
#918F80,128,Rock Ridge
#8F918C,129,Griffin
#9CA6A3,131,Quarry
#7D6E5E,134,Walnut
#8A8585,140,Frost Gray
#B5B5B3,142,Storm Gray
#CFC9C4,145,Glacier Gray
#CCD1C9,150,Dawn Blue
#8C8A87,153,Wild Dove
#9CA6A3,156,Quarry
#C9C4B5,160,Moonstruck
#BDC7BD,163,Smoke
#C7BFB0,170,Gray Morn
#C4BFAB,172,Overcast
#C9C4B5,174,Moonstruck
#EDE8DE,190,Lily White
#D6C95C,221,Acacia
#F2EDB5,250,Tender Yellow
#7D6E5E,265,Walnut
#7D7866,266,Vertiver Green
#948778,274,Moon Rock
#F5ED80,300,Limelight
#F0DB69,304,Yellow Cream
#EBD440,311,Maize
#C7BA7D,313,Dried Moss
#E8DB52,320,Aurora
#C7BA7D,352,Dried Moss
#706B5E,356,Bungee Cord
#F5E6A8,360,French Vanilla
#616161,366,Pewter
#E0E6CF,370,Water Lily
#D6C7AB,372,Wood Ash
#A8A67D,453,Sage Green
#94876B,454,Coriander
#EBEBC7,460,Sylvan Green
#736E6B,464,Charcoal Gray
#E8DB52,500,Aurora
#EDCC52,502,Primrose Yellow
#FAC245,503,Daffodil
#E8C473,507,Cornsilk
#DEB566,514,Ochre
#F5E6A8,520,French Vanilla
#F0DB69,523,Yellow Cream
#D1BA82,532,Cocoon
#7D755C,544,Covert Green
#C4B087,552,Drab Gray
#A8998C,555,Atmosphere
#DED1A6,571,Light Chartreuse
#B8B8A6,573,Agate Gray
#736E6B,575,Charcoal Gray
#785E57,576,Deep Taupe
#D6C2A6,581,Shifting Sand
#F5E03B,600,Buttercup
#EDCC52,602,Primrose Yellow
#EBD440,603,Maize
#F5E03B,605,Buttercup
#EBD440,608,Maize
#EDCC52,620,Primrose Yellow
#DBA875,632,Clay
#E3CC80,640,Dusky Citron
#C2AB85,652,Candied Ginger
#F0E3B8,660,Rutabaga
#918F80,674,Rock Ridge
#F7BA54,701,Amber Yellow
#E0B54F,704,Yolk Yellow
#EBB04D,705,Amber
#E8C473,711,Cornsilk
#F7DE73,713,Snapdragon
#EDBA61,714,Golden Cream
#948052,726,Antique Bronze
#8F827D,732,Cinder
#E0B382,740,Desert Mist
#D9C27D,741,Jojoba
#E3CC91,742,Straw
#A68F73,753,Chanterelle
#99917A,763,Seneca Rock
#8F827D,776,Cinder
#E3DBC4,780,White Asparagus
#F7C966,801,Sunset Gold
#DBA340,802,Artisan Gold
#EDBA61,810,Golden Cream
#CC9959,821,Oak Buff
#E3BF87,851,Desert Dust
#B3967D,853,Natural
#C9BFAB,861,Peyote
#8F8273,864,Fungi
#E3DBC4,870,White Asparagus
#D1C7B3,872,Oatmeal
#BAAD9E,873,Feather Gray
#A6998C,874,Goat
#F0C44F,902,Mimosa
#FCAB47,911,Marigold
#FC8F4F,912,Tangerine
#E3995C,913,Apricot Tan
#D1A17A,921,Toast
#8C6157,933,Cognac
#BA9E82,934,Nouget
#AD8C5C,941,Apple Cinnamon
#857866,945,Fossil
#D9C294,950,Marzipan
#99806E,953,Ginger Snap
#F0D4B3,961,Dawn
#A8998A,973,Cobblestone
#D9C294,981,Marzipan
#F2C28C,1030,Apricot Cream
#A87A61,1032,Mocha Mousse
#FAC294,1040,Beach Sand
#877869,1054,Pine Bark
#B5A385,1061,Nomad
#B3AB94,1062,Spray Green
#DED6C2,1071,Bone White
#F08C4F,1102,Autumn Sunset
#F78C61,1103,Melon
#EB995C,1105,Muskmelon
#EB995C,1110,Muskmelon
#B87A57,1115,Sunburn
#BA9E82,1123,Nouget
#B88F6E,1132,Macaroon
#BF9E73,1133,Tan
#B08F70,1142,Praline
#665959,1164,Sparrow
#F7EDDB,1171,Whisper White
#665C5C,1186,Plum Kitten
#FC8F4F,1200,Tangerine
#D18757,1221,Coral Gold
#94786E,1243,Antler
#8C6157,1244,Cognac
#D9B599,1260,Toasted Almond
#D6CFB5,1270,Fog
#E8704A,1302,Flamingo
#E38754,1303,Dusty Orange
#D97A33,1305,Amberglow
#FC9E9C,1306,Flamingo Pink
#E6703D,1307,Coral Rose
#D47D59,1321,Carnelian
#8F5E4D,1326,Russet
#EB785C,1330,Coral
#D18266,1332,Tawny Orange
#AD5C4A,1334,Redwood
#B36359,1335,Dusty Cedar
#8C6157,1342,Cognac
#FAC9A1,1350,Almond Cream
#825C52,1354,Nutmeg
#665959,1366,Sparrow
#E8D9BF,1370,Seedpearl
#8A827A,1374,Steeple Gray
#C28C7A,1451,Cameo Brown
#94786E,1453,Antler
#F5E0CF,1460,Dew
#F28F78,1501,Burnt Coral
#D65E54,1510,Deep Sea Coral
#E69687,1540,Lobster Bisque
#E8CCB0,1560,Cream Tan
#595457,1566,Rabbit
#F5D6B5,1570,Nude
#E0CFB0,1571,Creme Brulee
#786B61,1573,Iron
#BA4F4F,1702,Cranberry
#B8474D,1704,Chrysanthemum
#B8474D,1706,Chrysanthemum
#8F4754,1724,Dry Rose
#7D5C59,1746,Rose Taupe
#BA4F4F,1800,Cranberry
#BA857A,1842,Ash Rose
#8A7070,1844,Twilight Mauve
#F7A18C,1849,Peach Amber
#C74D59,1900,Claret Red
#A84F4F,1902,Garnet Rose
#8F454A,1911,Earth Red
#8F4754,1912,Dry Rose
#A84D57,1920,Holly Berry
#EB7A87,1930,Bubblegum
#FAABBA,1940,Prism Pink
