color,number,comment
#FFF5FE,1,White
#F0DEDA,2,Light Pink
#F7DBD7,3,Heavenly Pink
#F9BCCC,4,Pink
#F8ABBF,5,Petal Pink
#F89AB5,6,Pale Pink
#F27597,7,Pink
#EF3E68,8,Pink
#E00047,9,Cerise
#C80740,10,Dark Red
#EFC6CA,11,Parfait Pink
#F9BCCC,12,Pink
#F99AB0,13,Rose
#FD7AAE,14,Wild Pink
#D25396,15,Medium Pink
#B62570,16,Dark Pink
#9F0052,17,Dark Red
#89014D,18,Cranberry
#6A1C43,19,Dark Maroon
#4C253A,20,Dark Maroon
#EAC9D0,21,Pink Bazaar
#F2B6D0,22,Violet
#FCA5D2,23,Medium Pink
#F972BF,24,Floral Pink
#E61894,25,Ruby Glint
#DE1E81,26,Ruby Glint
#EECDBA,27,Bisque
#ECBCA8,28,Pale Salmon Pink
#FBACB1,29,Emily Pink
#E9957B,30,Coral Haze
#E16251,31,Dark Salmon Pink
#BD3827,32,Dark Rust
#D22320,33,Rust
#D52D12,34,Red
#EB2729,35,Scarlet
#DC192A,36,Foxy Red
#BB112B,37,Red
#BE1337,38,Medium Red
#A71039,39,Atom Red
#8E2141,40,Perfect Ruby
#F6D7D5,41,Primrose Pink
#FFE6DF,42,Snow White
#FCDED6,43,Rosewater
#FBCEC8,44,Petal Pink
#FAC0B4,45,Impatiens Pink
#F9B7AB,46,Flesh Pink
#F5C0C8,47,Sugar Pink
#EFA9B1,48,Pale Pink
#F88F9D,49,Shrimp
#E78D99,50,Light Orange
#FB9BA6,51,Peony
#EC7780,52,Confetti
#D43C48,53,Dark Salmon Pink
#CB282B,54,Spanish Red
#AF1C2E,55,Red Berry
#A9084C,56,Red
#ECA6B0,57,Pale Pink
#E8ABBA,58,Cameo Pink
#DA828E,59,Medium Pink
#E78D99,60,Light Orange
#F1D4C6,61,Crystal Pink
#F7AB91,62,Salmon
#E9957B,63,Coral Haze
#D87E64,64,Crabapple
#B85D42,65,Brown
#B74930,66,Dark Orange /  Brown
#9A3018,67,Red Bittersweet
#78281D,68,Bark
#752935,69,Wine
#9A1E36,70,Cranberry
#7C222B,71,Burgundy
#752935,72,Wine
#D68BA0,73,Rose Tint
#75263B,74,Red Jubilee
#8E2141,75,Perfect Ruby
#7A1B3D,76,Kings Wine
#F2CFAF,77,Gray Sand
#FCCF94,78,Impala
#FCC953,79,Cornsilk
#C6950C,80,Old Gold
#ECE3D4,81,Yellow / Gold
#EEEABB,82,Celery
#F6E39F,83,PaleYellow
#F7DE8A,84,Wheat
#FAC93E,85,Yellow
#FDCB16,86,Manila
#FCB853,87,Mimosa
#F7A408,88,Marigold
