color,number,comment
#28292A,1000,Black
#E3E5FB,1001,Bright White
#E7E7F4,1002,Bright White
#E9E7E7,1003,Natural White
#EAE8EE,1004,Blue Blush
#E0E4FF,1005,Billowing Sail
#29282A,1006,Diamond Black
#2A2829,1007,Black
#282A2C,1008,Ruby Black
#2B2B30,1009,Sapphire Black
#C2C4BF,1010,Vapor
#A9AFB2,1011,Traditional Gray
#A3AFB3,1012,Whisper Grey
#EED1CA,1013,Rosewater
#EEB2BC,1014,Orchid Pink
#E9B3B1,1015,Desert Bloom
#EA9595,1016,Emily Pink
#F4BCAC,1017,Peach
#F0B4A8,1018,Flesh Pink
#E9ACA5,1019,Flesh Pink
#F7887D,1020,Flamingo
#BA522F,1021,Old Dark Tex Orange
#EAE3B9,1022,Medium Yellow
#F3DA68,1023,Lemon
#FFA617,1024,Buttercup
#CD8126,1025,Pollen Gold
#F4BC8B,1026,Glow
#9ABACA,1027,Cadet Blue
#5A89AA,1028,Caribbean Blue
#2E89BD,1029,Dolphin Blue
#94A9C2,1030,Lake Blue
#C7A1BF,1031,Carnatio
#816C9D,1032,Iris
#6E4981,1033,Mulberry
#994262,1034,Burgundy
#632F3D,1035,Warm Wine
#593032,1036,Dark Sepia
#BE1422,1037,Tuxedo Red
#8C2F33,1038,Red Bittersweet
#A12831,1039,Red Berry
#8A8689,1040,Silvery Gray
#6E747B,1041,Metal
#214F77,1042,Imperial Blue
#2C3445,1043,Black
#2E313E,1044,Navy
#86CCBF,1045,Seafrost
#4FAC98,1046,Pale Green
#9EBDA2,1047,Mint
#7B9553,1048,Green Dust
#6FA04D,1049,Spruce
#459645,1050,Emerald
#008745,1051,Kelly
#397474,1052,Imperial Aqua
#E7B7A5,1053,Peach
#AC837A,1054,Tawny Birch
#D4B18F,1055,Cream
#9E6947,1056,Wicker
#A07155,1057,Fawn
#71463B,1058,Mushroom
#423734,1059,Egyptian Brown
#B3A697,1060,Platinum
#F4DAAB,1061,Wheat
#8D867A,1062,Pale Grey
#7C7669,1063,Medium Green / Yellow
#FFC71D,1064,Daffodil
#E57821,1065,Mango
#F5D6A1,1066,Pale Yellow
#F0DDA6,1067,Sunshine
#FFBC16,1068,Canary
#FFB104,1069,Manila
#D2A970,1070,Yellow Gold
#E9E5DC,1071,Natural White
#DCD2BD,1072,Aspen White
#CCDBCF,1073,Billowing Sail
#95B5CF,1074,Ice Blue
#84A8C8,1075,Baby Blue
#005796,1076,Blue
#E2433D,1077,Paprika
#ED532A,1078,Paprika
#00874F,1079,Kelly
#A67DA9,1080,Medium Pink
#BA3051,1081,Wildfire
#CDBAA6,1082,Ivory
#FACE5A,1083,Moonbeam
#D2B99D,1084,Sea Mist
#B8B5AF,1085,White Sand
#C7C9C6,1086,Palest Ivory
#BCBCB8,1087,Pearl Gray
#61A9AC,1088,Aquamarine
#6CA9B2,1089,Basic Turquoise
#148589,1090,M. D. Green
#007080,1091,Dark Aqua Green
#93C2D1,1092,Cadet Blue
#1BBBC9,1093,Indian Ocean Blue
#00B3C9,1094,Periwinkle
#00A9C2,1095,Aquamarine
#007D9B,1096,Pretty Blue
#AFD2C0,1097,Bleached Aqua
#588773,1098,Blue Surf
#BAC19F,1099,Pastel Green
#BED1B2,1100,Pastel Green
#488F52,1101,Emerald
#B6AF7C,1102,Green Haze
#344D3B,1103,Holly
#C1C596,1104,Lime Cream
#ABA37E,1105,Silver Fern
#978C54,1106,Crescent Moon
#E86276,1107,Shell Pink
#E98BA3,1108,Dusty Rose
#CF4D88,1109,Ruby Glint
#BF2F6E,1110,Ruby Glint
#C5ADC5,1111,Light Pink
#534680,1112,Purple Accent
#EBC5C0,1113,Pink Mist
#EABABA,1114,Bisque
#EFBBC1,1115,Crystal Pink
#EBADBF,1116,Orchid Pink
#D4628E,1117,Begonia
#899193,1118,Banner Gray
#9C4F64,1119,K. A. Bronze
#E6BAC9,1120,Crystal Pink
#E2AFC5,1121,Pink
#4E3568,1122,Purple Shadow
#EDE0BF,1123,Tusk
#FAC74B,1124,Star Gold
#F1B13C,1125,Manila
#AE7D5A,1126,Light Bronze
#DCBAA5,1127,Alesan
#A29082,1128,Taupe
#483933,1129,Egyptian Brown
#493937,1130,Espresso
#3B3431,1131,Dark Grey
#88BBCF,1132,Pale Blue
#277EB7,1133,Dolphin Blue
#005592,1134,Fire Blue
#F5D777,1135,Lemon
#8B796C,1136,String
#F48C0D,1137,Merit Gold
#CCBAA4,1138,Seashell
#808033,1140,Tamarack
#9C7178,1141,Light Pink
#B79B8F,1142,Whisper Pink
#4B6B99,1143,Jay Blue
#846A57,1144,Light Cocoa
#5E3E35,1145,Brown
#D42727,1146,Saffron
#B60F2F,1147,Foxy Red
#DC8B9A,1148,Medium Pink
#DCC7B3,1149,Ecru
#DBE08C,1150,Pebblestone
#BBC5CE,1151,Silver Moon
#FA8972,1152,Arctic Ice
#ACBFCB,1153,Illusion Blue
#D84660,1154,Cerise
#F59E65,1155,Chamois
#787346,1156,Medium Green / Yellow
#776B4C,1157,Desert Cactus
#794337,1158,Mushroom
#D2A142,1159,Black Eyed Susie
#4C7283,1160,Wonder Blue
#2D4851,1161,Deep Windsor
#1F3F4A,1162,Deep Windsor
#80979E,1163,Blue Gray
#535A63,1164,Gull
#1E4482,1166,Royal
#234877,1167,Blue Suede
#96A84E,1168,Sharp Green
#8D9949,1169,Medium Green
#5A6E29,1170,Meadow
#F0AF45,1171,Star Gold
#E7982D,1172,Buttercup
#C2793F,1173,Almond
#843A37,1174,Burgundy
#3B688D,1175,Slate Blue
#0081B6,1176,Baltic Blue
#006DA7,1177,Ocean Blue
#F66943,1178,Orange
#C9524B,1179,Dark Rust
#E6C44A,1180,Daffodil
#892533,1181,Red Berry
#782B3C,1182,Burgundy
#8D3152,1183,Cranberry
#BD1D44,1184,Wildfire
#00625E,1185,Imperial Aqua
#A90042,1186,Red
#B71855,1187,Dark Pink
#7A3B6D,1188,Dark Red
#3F5435,1189,Holly
#957F3D,1190,Medium Yellow / Green
#927038,1191,Autumn Green
#A9792A,1192,Bullion
#B49F55,1193,Hemp
#715C2D,1194,Desert Cactus
#8FC3B4,1195,Pale Green
#A1822A,1196,Black Eyed Susie
#B5C6D6,1198,Cadet Blue
#2A2E36,1199,Black
#A3AFB3,1212,Pale Silver
#EFB296,1217,Opaline
#AD726B,1218,Mahogany Rose
#A3BCB8,1219,Sprite
#E17578,1220,Pink Icing
#AA4134,1221,Dark Rust
#E9DEBA,1222,Celery
#EFC82C,1223,Canary
#E2BC51,1224,Star Gold
#C98D47,1225,Pollen Gold
#D58D64,1226,Buff Orange
#799C97,1227,Pale Blue
#6D6258,1228,Vertiver Green
#5D5147,1229,Dark Grey
#614E3F,1230,Fungi
#A799BB,1232,Violet
#4E4564,1233,Blackberry
#BE3763,1234,Dark Pink
#9A688E,1235,Rose Dust
#4E2A36,1236,Plum
