color,number,comment
#FAE610,2005,Daffodil
#FCC9A1,2006,Peach Fuzz
#FE7758,2007,Persimmon
#EDB5C7,2008,Lilac Sachet
#ED9CB5,2009,Begonia Pink
#EF1D78,2010,Cherry Blossom
#E68FA8,2011,Rosebloom
#E68FA8,2012,Rosebloom
#E38782,2013,Strawberry Ice
#7FBB00,2015,Green Dust
#F1EB87,2016,Pale Yellow
#EEE75D,2017,Light Yellow
#F9E715,2018,Daffodil
#F9DF16,2019,Moonbeam
#FAD716,2020,Canary
#FEC81F,2021,Buttercup
#EBB110,2022,Gold
#F0B32F,2023,Yellow Poppy
#FEB778,2024,Buff Orange
#C0920C,2025,Old Gold
#DDCD6A,2026,Pale Yellow
#B6AC59,2027,Pale Green / Yellow
#999008,2028,Sun Shadow
#CC7A02,2029,Almond
#AF7506,2030,Copper
#F3D1BE,2031,Grape
#B5917D,2032,Roebuck
#F4BFD2,2033,Memphis Belle
#F2B0C2,2034,Carnatio
#FAB0AE,2035,Emily Pink
#FB858E,2036,Azalea
#DC818C,2037,Medium Pink
#E399A1,2038,Sea Pink
#E54D7D,2039,Azalea
#BD3779,2040,Dark Pink
#E22982,2041,Ruby Glint
#D00057,2042,Dark Pink
#E10747,2043,Cerise
#CF1326,2044,Foxy Red
#C00B31,2045,Very Red
#F0B6A0,2046,Blossom
#FB906E,2047,Melon
#FC8845,2048,Golden Poppy
#E87513,2049,Golden Poppy
#E48D06,2050,Dark Yellow
#DF5900,2051,Orange
#DE4F04,2052,Orange
#FA4025,2053,Paprika
#A80C36,2054,Atom Red
#8C2532,2055,Burgundy
#902444,2056,Perfect Ruby
#7E1F3F,2057,Maroon
#70193D,2058,Red Licorice
#9B006F,2059,Medium Purple
#85226C,2060,Grape Wine
#ABCCD9,2061,Crystal Blue
#76B3DF,2062,Ultra Blue
#A5BBE0,2063,Cristy Blue
#A7B0D5,2064,Light Purple
#76AADC,2065,Caribbean Blue
#3A75C4,2066,Dolphin Blue
#0055A0,2067,Solar Blue
#2F348E,2068,Blue
#003893,2069,Fire Blue
#00337F,2070,Blue Suede
