color,number,comment
#FAF8F6,2,White
#000000,3,Black
#5F8ABF,498,Oriental Blue
#FFEB32,500,Yellow
#F7F43D,501,Yellow
#FAF8AB,502,Lemon
#FE9930,505,Orange
#E57A1C,507,Nut
#94523D,511,Tan
#FEF5DA,512,Light Cream
#E4BA78,515,New Gold
#D2914F,517,Topaz
#F4E0A6,520,Glow
#FFF02B,522,Sunflower
#B2432C,528,Date
#B50D13,534,Red Jubilee
#C7E8AB,536,Pale Green
#35715B,539,Olive
#5D7329,540,Green Dust
#021C23,543,Ivy
#8DCF83,544,Pale Green
#88CA5B,546,Light Green
#697D2B,547,Green Dust
#76C79C,548,Green Pearl
#2D6031,549,Green Gables
#02836B,553,Pine Green
#4EB588,554,Harbor Green
#000000,559,Black
#A9DDBC,561,Pale Green
#EFC2DF,575,Bisque
#311760,581,Violet Blue
#20013B,582,Navy Blue
#39027D,583,Raspberry
#FB978A,591,Coral
#FB886C,592,Apricot
#FF420B,594,Orangeade
#F84E67,596,Azalea
#BF0137,600,Carolina Red
#6F0539,601,Dark Maroon
#FDDEAE,605,Bisque
#34000F,607,Dark Chocolate
#FAA4C1,610,Pink
#B147A0,611,Tulip
#F44390,612,Wine
#250F18,618,Dark Brown
#595952,623,Cinder
#D2B091,628,Light Tan
#B48568,629,Toast
#AD7C64,636,Light Brown
#928C90,640,Cinder
#FEEDDE,645,Light Coral
#FBA29B,646,Light Rust
#FCD4DE,647,Bisque
#713A98,650,Cachet
#74715D,651,Palm Leaf
#565655,657,Metal
#BA713C,658,Coffee
#DEF2E0,668,Natural White
#A1D0CB,669,Light Blue
#6F93C4,672,Baby Blue
#0C2F7D,675,Blue Ribbon
#395A2E,678,Dark Green
#6E7B74,681,Teal
#343A5D,684,Slate Blue
#302B28,685,Twilight
#0E274A,688,Midnight Navy
#053A50,690,Deep Windsor
#BEA183,692,Light Tan
#3E434A,696,Metal
#74573A,698,Light Brown
#3F3D3C,700,Charcoal
#FCF9EF,703,Natural White
#FCF9E8,704,Off White
#4F4742,706,Dark Brown
#1C1C27,707,Midnight Navy
#6E3123,711,Brown
#391A1D,712,Cocoa
#D9D5CA,713,Ash White
#395A2E,714,Dark Green
#5B5C31,717,Olive Drab
#8C8886,724,Palm Leaf
#999991,725,Dover Gray
#8D2211,728,Coffee Bean
#A1AFBF,736,Winter Blue
#570439,738,Dark Maroon
#E90B33,739,Red
#03071C,745,Black
#DBEDE9,749,True White
#71463D,753,Amber Beige
#141516,759,Charcoal
#FECF25,767,Nectar
#A90244,769,Wine
#360025,771,Dark Brown
#FCF1D3,781,Eggshell
#512525,786,Camel
#C2E3E6,787,Light Blue
#77A5CD,788,Baby Blue
#124A9E,790,Lannen Blue
#041029,792,Midnight Navy
#209A50,795,Light Emerald
#FCC8B4,800,Flamingo
#FBA99C,802,Champagne Pink
#F77FB1,803,Pink Mist
#F65EA1,805,Rose
#F85375,806,Blush
#B54C2C,809,Scholastic
#18648E,814,Misty
#CBBA9D,820,Ecru
#FA1B3D,821,Foxy Red
#AF282F,822,Rust
#FFD413,827,Nectar
#FEA336,828,Goldenrod
#D85F1D,829,Scholastic
#D3843F,830,Splinter
#0D287E,833,Blue Suede
#F61C59,835,Foxy Red
#E20131,837,Maroon
#AC0134,838,Dark Maroon
#803F2E,839,Light Cocoa
#F1D7AA,844,Seashell
#1B7A37,847,Fleece Green
#028E5B,849,Fleece Green
#044E51,850,Harbor Green
#474744,859,Metal
#052B3F,864,Navy
#143896,885,Imperial Blue
#0971B0,888,Baltic Blue
#58B98D,889,Green Pearl
#348CA4,890,Misty
#0490BE,892,Blue Horizon
#CCE974,893,Flite Green
#1A2518,894,Black
#67BD6C,895,Green Gables
#64BC72,899,Pale Green
#8DCB42,900,Light Green
#578EBC,901,Tropic Blue
#E54339,902,Light Bronze
#C0E352,903,Flite Green
#F2F94E,911,Daffodil
#FC222C,913,Hazy Red
#FCBB86,914,Coral
#050E31,916,Midnight Navy
#F8728B,921,Shrimp
#FAFD80,922,Star Gold
#F54A93,923,Tuxedo Red
#64B94B,952,Apple Green
#FF4C0B,953,Pumpkin
#810D83,958,Cachet
#B83E9C,959,Tulip
#AF0D61,960,Red Jubilee
#FFF79C,961,Light Mustard
#B3D3DD,962,Sky Blue
