color,number,comment
#28292A,E000,Black
#E3E5FB,E001,White
#A3AFB3,E012,Marri Grey
#EED1CA,E013,Lite Pink
#E9ACA5,E019,Medium Peach
#F7887D,E020,Mature Peach
#BA522F,E021,Sebring Orange
#F3DA68,E023,Lemon
#FFA617,E024,Challis
#CD8126,E025,Rich Gold
#9ABACA,E027,Light Sky
#5A89AA,E028,Medium Sky
#C7A1BF,E031,Pastel Orchid
#816C9D,E032,Light Purple
#6E4981,E033,Medium Purple
#632F3D,E035,Port
#BE1422,E037,Picardy Red
#A12831,E039,Red Satin
#8A8689,E040,Smoke Grey
#6E747B,E041,Gundagai Grey
#214F77,E042,Wild Blue
#86CCBF,E045,Light Ocean
#4FAC98,E046,Ocean Green
#9EBDA2,E047,Sage Green
#008745,E051,Xmas Tree
#E7B7A5,E053,Lite Peach
#AC837A,E054,Dark Flesh
#D4B18F,E055,Bridle
#A07155,E057,Medium Bridle
#423734,E059,Chocalate
#B3A697,E060,Drum
#F0DDA6,E067,Sunshine
#FFBC16,E068,Sunfire Yellow
#D2A970,E070,Inca
#E9E5DC,E071,Atherton Ivory
#84A8C8,E075,Grey Blue
#ED532A,E078,Valencia Orange
#A67DA9,E080,Jester
#CDBAA6,E082,Sunlit Biege
#D2B99D,E084,Medium Flesh
#BCBCB8,E087,Gloster Grey
#007D9B,E096,Rhodes Blue
#BED1B2,E100,Pastel Green
#488F52,E101,Vine Green
#344D3B,E103,Baltic Green
#978C54,E106,Lite Kiwi Green
#E86276,E107,Reef
#E98BA3,E108,Dark Riley
#BF2F6E,E110,Medium Ruby
#534680,E112,Wild Violet
#EBADBF,E116,Jester Pink
#D4628E,E117,Dark Ruby
#899193,E118,Light Smoke
#E6BAC9,E120,Pastel Jester
#DCBAA5,E127,Katherine Biege
#A29082,E128,Medium Leather
#277EB7,E133,Dolphin Blue
#005592,E134,Falcon Blue
#F48C0D,E137,Dark Challis
#B79B8F,E142,Light Leather
#4B6B99,E143,Pastel Navy
#846A57,E144,Dark Leather
#5E3E35,E145,Light Chocalate
#ACBFCB,E153,Smoky Blue
#787346,E156,Light Military
#776B4C,E157,Medium Military
#535A63,E164,Carbine Grey
#1E4482,E166,Omega Blue
#8D9949,E169,Kiwi Fruit
#5A6E29,E170,Dark Kiwi
#C2793F,E173,Dark Almond
#006DA7,E177,Night Mist Blue
#892533,E181,Dry Red
#A90042,E186,Light Ruby
#7A3B6D,E188,Royal Ruby
#957F3D,E190,Inca Green
#A9792A,E192,Dark Inca
#E9DEBA,E222,Pale Lemon
#EFC82C,E223,Monaro Yellow
#333C53,E243,Midnite Blue
#9ACE69,E248,Lina Mint
#007047,E250,Jewel Green
#00914C,E251,Bold Green
#FF6616,E278,Navel Orange
#007763,E280,Dark Ocean
#154B4B,E290,Deep Ocean
#008CAC,E295,Vibrant Blue
#38A87D,E301,Kelp
#0E4E3F,E304,Seaton Green
#D66399,E309,Aggs Pink
#953C73,E310,Ruby Prudence
#8E8BB8,E311,Pastel Lavender
#AB8F6A,E338,Wholemeal
#484634,E357,Verdoro Green
#234F3B,E370,Duck Green
#F0A653,E372,Light Inca
#234D67,E376,Blue Steel
#E15445,E379,Manderin Red
#612533,E385,Etna Moroon
#505443,E394,Earth Green
