color,number,comment
#D6C794,1000,Green Beige
#D9BA8C,1001,Beige
#D6B075,1002,Sand Yellow
#FCA329,1003,Signal Yellow
#E39624,1004,Golden Yellow
#C98721,1005,Honey Yellow
#E0821F,1006,Maize Yellow
#E37A1F,1007,Daffodil Yellow
#AD7A4F,1011,Brown Beige
#E3B838,1012,Lemon Yellow
#FFF5E3,1013,Oyster White
#F0D6AB,1014,Ivory
#FCEBCC,1015,Light Ivory
#FFF542,1016,Sulfur Yellow
#FFAB59,1017,Saffron Yellow
#FFD64D,1018,Zinc Yellow
#A38C7A,1019,Grey Beige
#9C8F61,1020,Olive Yellow
#FCBD1F,1021,Rape Yellow
#FCB821,1023,Traffic Yellow
#B58C4F,1024,Ochre Yellow
#FFFF0A,1026,Luminous Yellow
#997521,1027,Curry
#FF8C1A,1028,Melon Yellow
#E3A329,1032,Broom Yellow
#FF9436,1033,Dahlia Yellow
#F7995C,1034,Pastel Yellow
#E05E1F,2000,Yellow Orange
#BA2E21,2001,Red Orange
#CC241C,2002,Vermilion
#FF6336,2003,Pastel Orange
#F23B1C,2004,Pure Orange
#FC1C14,2005,Luminous Orange
#FF7521,2007,Luminous Bright Orange
#FA4F29,2008,Bright Red Orange
#EB3B1C,2009,Traffic Orange
#D44529,2010,Signal Orange
#ED5C29,2011,Deep Orange
#DE5247,2012,Salmon Orange
#AB1F1C,3000,Flame Red
#A3171A,3001,Signal Red
#A31A1A,3002,Carmine Red
#8A1214,3003,Ruby Red
#690F14,3004,Purple Red
#4F121A,3005,Wine Red
#2E121A,3007,Black Red
#5E2121,3009,Oxide Red
#781417,3011,Brown Red
#CC8273,3012,Beige Red
#961F1C,3013,Tomato Red
#D96675,3014,Antique Pink
#E89CB5,3015,Light Pink
#A62426,3016,Coral Red
#D13654,3017,Rose
#CF2942,3018,Strawberry Red
#C71712,3020,Traffic Red
#D9594F,3022,Salmon Pink
#FC0A1C,3024,Luminous Red
#FC1414,3026,Luminous Bright Red
#B51233,3027,Raspberry Red
#A61C2E,3031,Orient Red
#824080,4001,Red Lilac
#8F2640,4002,Red Violet
#C9388C,4003,Heather Violet
#5C082B,4004,Claret Violet
#633D9C,4005,Blue Lilac
#910F66,4006,Traffic Purple
#380A2E,4007,Purple Violet
#7D1F7A,4008,Signal Violet
#9E7394,4009,Pastel Violet
#BF1773,4010,Telemagenta
#17336B,5000,Violet Blue
#0A3354,5001,Green Blue
#000F75,5002,Ultramarine Blue
#001745,5003,Sapphire Blue
#030D1F,5004,Black Blue
#002E7A,5005,Signal Blue
#264F87,5007,Brillant Blue
#1A2938,5008,Gray Blue
#174570,5009,Azure Blue
#002B70,5010,Gentian Blue
#03142E,5011,Steel Blue
#2973B8,5012,Light Blue
#001245,5013,Cobalt Blue
#4D6999,5014,Pigeon Blue
#1761AB,5015,Sky Blue
#003B80,5017,Traffic Blue
#389482,5018,Turquoise Blue
#0A4278,5019,Capri Blue
#053333,5020,Ocean Blue
#1A7A63,5021,Water Blue
#00084F,5022,Night Blue
#2E528F,5023,Distant Blue
#578CB5,5024,Pastel Blue
#337854,6000,Patina Green
#266629,6001,Emerald Green
#265721,6002,Leaf Green
#3D452E,6003,Olive Green
#0D3B2E,6004,Blue Green
#0A381F,6005,Moss Green
#292B24,6006,Grey Olive
#1C2617,6007,Bottle Green
#21211A,6008,Brown Green
#17291C,6009,Fir Green
#366926,6010,Grass Green
#5E7D4F,6011,Reseda Green
#1F2E2B,6012,Black Green
#75734F,6013,Reed Green
#333026,6014,Yellow Olive
#292B26,6015,Black Olive
#0F7033,6016,Turquoise Green
#408236,6017,Yellow Green
#4FA833,6018,May Green
#BFE3BA,6019,Pastel Green
#263829,6020,Chrome Green
#85A67A,6021,Pale Green
#2B261C,6022,Olive Drab
#249140,6024,Traffic Green
#4A6E33,6025,Fern Green
#0A5C33,6026,Opal Green
#7DCCBD,6027,Light Green
#264A33,6028,Pine Green
#127826,6029,Mint Green
#298A40,6032,Signal Green
#428C78,6033,Mint Turquoise
#7DBDB5,6034,Pastel Turquoise
#738591,7000,Squirrel Grey
#8794A6,7001,Silver Grey
#7A7561,7002,Olive Grey
#707061,7003,Moss Grey
#9C9CA6,7004,Signal Grey
#616969,7005,Mouse Grey
#6B6157,7006,Beige Grey
#695438,7008,Khaki Grey
#4D524A,7009,Green Grey
#4A4F4A,7010,Tarpaulin Grey
#404A54,7011,Iron Grey
