color,number,comment
#E9E2D7,C001,Palest Ivory
#EAE2B7,C003,Cocoa Mulch
#E4DCAA,C004,Light Yellow / Orange
#EBE597,C005,Wheat
#F5E487,C006,Pale Yellow
#E3DB74,C007,Canary Yellow
#E8DE20,C008,Yellow
#F3CE69,C009,Yellow Gold
#FBE070,C010,Snapdragon
#F1BF4A,C011,Penny
#F3D03E,C012,Gold Goblet
#F3D03E,C013,Gold Goblet
#EADF97,C015,Wheat
#F6CCAA,C016,Flesh
#CDC47E,C017,Cocoon
#F0B32F,C018,Yellow Poppy
#D08F55,C020,Ashley Gold
#E8C0BB,C021,Pale Orange
#D3A87D,C024,Tan
#EAAA7B,C025,Bamboo
#EDA050,C026,Pale Gold
#F28411,C027,Golden Poppy
#E87513,C029,Golden Poppy
#E87513,C030,Golden Poppy
#E87513,C031,Golden Poppy
#DE4F04,C032,Orange
#DE4F04,C033,Orange
#D81E04,C037,Orange / Red
#E23E28,C038,Honeysuckle
#D24514,C040,Tropical Orange
#ECCFC7,C041,Palest Peach
#E3BDB7,C042,Lotus
#F2C7C4,C044,Pink Mist
#F2C7C4,C046,Pink Mist
#F1B9C0,C048,Orchid Pink
#F1ADB2,C049,Pale Pink
#DA8A9B,C050,Rose Tint
#E88890,C051,Light Orange
#F16877,C052,Dusty Rose
#E14351,C053,Medium Red / Orange
#E14351,C054,Medium Red / Orange
#E14351,C056,Medium Red / Orange
#902444,C058,Perfect Ruby
#6C3120,C060,Tan
#E5C6AB,C061,Pale Peach
#D3B7A2,C062,Grape
#D8B496,C063,Amber Beige
#D3A87D,C064,Tan
#D3A87D,C065,Tan
#F5C5A0,C066,Opaline
#BB7531,C067,Toast
#BB7531,C068,Toast
#AB7540,C069,Wicker
#AB7540,C070,Wicker
#AB7540,C071,Wicker
#866028,C072,Chocolate
#74400A,C073,Chocolate
#853513,C075,Bark
#7E2D24,C076,Burgundy
#7E2D24,C077,Burgundy
#482312,C078,Dark Oak
#482312,C079,Dark Oak
#522A25,C080,Dark Brown
#CBC2C8,C081,Skylight
#C6A4C1,C084,Lavandula
#CCAFB7,C085,Rose Beige
#D5616E,C086,Rapture Rose
#A66C6D,C087,Heather Rose
#946B80,C088,Very Grape
#8A77B9,C090,Mauve
#4A3C63,C094,Cassis
#4A3C63,C096,Cassis
#4A3C63,C099,Cassis
#2C265C,C100,Blue Ink
#CCE3DE,C101,Soothing Sea
#98D7DF,C102,Blue Frost
#8DCDD4,C103,Pale Turquoise
#54B7C8,C104,Capri
#008BB2,C106,Blue / Green
#6593BD,C107,Pale Purple
#B8CDDB,C109,Misty Fog
#76B3DF,C110,Ultra Blue
#6593BD,C111,Pale Purple
#0084CA,C112,Blue / Green
#0073C6,C113,Medium Blue
#5E82A3,C114,Slate Blue
#464E52,C119,Midnight
#6A5F50,C120,Dark Grey
#C6D0D6,C121,Pastel Blue
#D1CEC8,C123,Light Green
#ADB2C2,C124,Pale Grey
#9BAAC0,C125,Rockport Blue
#9BA2B8,C128,Purple Cloud
#808BC0,C129,Oriental Blue
#5E82A3,C130,Slate Blue
#5961A9,C131,Soldier Blue
#345686,C132,Imperial Blue
#345686,C133,Imperial Blue
#2F348E,C134,Blue
#2C265C,C135,Blue Ink
#342875,C136,Violet Blue
#3B4B73,C137,Ash
#493532,C138,Egyptian Brown
#40312C,C139,Espresso
#493532,C140,Egyptian Brown
#D1E4D4,C141,Blue Glass
#C6D6C5,C142,Dawn Blue
#D1E4D4,C143,Blue Glass
#B8CFBC,C144,Celadon
#9BDBC2,C145,Pale Aqua
#B8CFBC,C146,Celadon
#A2C2AE,C147,Jade Gray
#C7D6A1,C148,Flite Green
#F77F00,C151,Pumpkin
#60903B,C152,Spruce
#007C58,C154,Irish Green
#007C58,C155,Irish Green
#086E54,C156,Green Bay
#1F7B6D,C158,Jade Green
#225341,C159,Field Green
#D4D2AA,C161,Light Green / Yellow
#D9DFB4,C162,Lime Cream
#DDD59B,C163,Maize Silk
#CED74B,C165,Dark Green
#B6AC59,C166,Pale Green / Yellow
#ABBA0A,C167,Peapod
#C7D6A1,C168,Flite Green
#9FAA99,C169,Willow
#9FAA99,C170,Willow
#9B9F74,C171,Arcadian Green
#877531,C172,Dark Green / Yellow
#625E11,C174,Palmetto
#4A4613,C176,Khaki
#604C12,C177,Sand Dune
#404A26,C180,Hedge
#E6DCCD,C181,Turtledove
#DFD9CE,C182,White Sand
