color,number,comment
#FFFFFF,100,Snow White
#DA0815,101,Foxy Red
#D4102C,102,Foxy Red
#A5140E,103,Warm Red
#F43408,104,Vermilion
#F30808,105,Red
#993245,106,Burgundy
#E60409,107,Carmine
#275E2E,112,Green Gables
#2D6A24,113,Green
#90B445,114,Medium Green / Yellow
#387226,115,Green
#5C8B26,116,Peapod
#4FAC5B,117,Medium Green
#3B6920,118,Dark Green
#335E19,119,Dark Green
#51B58A,120,Emerald Green
#091949,122,Navy Blue
#0E063D,124,Midnight Navy
#49817C,125,Teel
#92ABBA,126,Lt. Smokey Blue
#1A1666,127,Imperial Blue
#617288,128,Dark Steel Blue
#BDD0DD,129,Bleuberry Medium Light
#CCE8ED,130,Pale Blue
#EE890B,133,Merit Gold
#F6E03D,134,Buttercup
#F6EC7B,135,Daffodil
#F5B63B,136,Yellow Gold
#F6F5BA,137,Mellow Yellow
#595234,140,Dark Green / Grey
#8B905D,142,Medium Olive Green
#ACAC7B,143,Sage Green
#B2BD38,147,Fresh Green
#8DF4D3,148,Blue Topaz
#94C796,149,Hemlock
#83BB92,151,Mint Green
#D6F1EE,152,Light Blue
#EB8880,153,Peach Bloosom
#F6532B,154,Tangerine
#E6D3AA,156,Palest Yellow
#B4AE8C,157,Winter Pear
#C7BFA0,159,Wood Ash
#D1BA83,161,Cocoon
#C2D070,162,Pale Meadow Green
#DE816F,169,Rose Wine Medium
#643562,181,Plum Wine
#581773,199,Royal Purple
#CA6D6D,200,Cherry
#FCB5AD,208,Petal Peach
#F3DCC8,209,Pink Champagne
#F5C8B8,211,Pastel Mauve
#F6AC95,214,Salmon
#F6D8B1,221,Nude
#D6DD59,231,Pale Yellow
#34500D,235,Green
#4A4F0D,236,Dark Olive
#3B391E,237,Best Brown
#58232E,240,Maroon
#745273,243,Crushed Grape
#6C6E5F,244,Florentine
#92A3A2,246,Quarry
#C7DA6F,259,Grey Moss
#F49797,262,Shrimp
#FDD9E1,278,Delicate Mauve
#86509C,279,Mulberry
#C8BBBD,280,Titanium
#A57733,281,Brown
#695A27,285,Dark Green / Yellow
#8E391E,292,Bark Dark
#4C3123,293,Dark Brown
#644126,294,Brown
#434616,295,Green
#A57B3F,298,Shimmering Gold
#734E2A,299,Chipmunk
#202721,300,Carbon Black
#58571F,302,Med. Army Green
#E2C389,303,Sand Stone Medium Light
#E3DBC2,304,White Asparagus
#F5B31D,304,Light Orange
#426C1A,305,Palmetto
#7C8531,306,Medium Green / Yellow
#B3E6A9,307,Spring Frost
#6F8C50,308,Grass Green
#ACBB91,309,Laurel Green
#4A5C65,310,Dark Grey / Blue
#FAB7AF,311,Flesh Pink
#8C5739,312,Dark Brown
#BB9575,313,Champagne
#B79476,314,Umber
#F5EFD3,315,Afterglow
#ABC5CE,316,Pale Blue
#F6D708,317,Canary-BRT
#847D46,318,Moss
#E6C06A,319,Golden Honey
#50907D,321,Winter Green
#AB6171,322,Rose Wine
#BAAD82,323,Beachcomber
#D07C43,324,Topaz Medium
#B8211B,325,Ruby
#FAE4D1,326,Chickory Light
#FFEEDE,327,Light Coral
#D9E8F8,328,Pale Baby Bleu
#EFF2F1,329,White
#0A0433,330,Deep Arctic Sky
#FFFECB,331,Pale Lemon
#B9B8A3,332,Agate Gray
#FCFFDC,333,Jonquil Very Light
#FFBBB3,334,Salmon Pink
#624F24,335,Dark Olive Green
#A56E68,336,Heather Rose
#604925,337,Light Cocoa
#5A6675,338,Dark Steel Blue
#70705F,339,Palm Leaf
#A8ACA0,340,Stone Grey
#403C2B,341,Black Avocado Green
#8A8C79,342,Pale Grey
#6F5E27,344,Pharaoh Gold
#AD9258,346,Medium Yellow
#E09A92,347,Coral
#7186A1,348,Medium Blue
#6A808B,350,Smoke Blue
#2A5216,351,Blue Spruce
#9B372A,352,Indian Paintbrush
#403F62,353,Deep Cobalt
#435344,354,French Green
#B4B9A5,501,Khaki Beige
#EFC810,502,Cornsilk
#0C082D,505,Deep Arctic Sky
#F9E6CA,508,Flesh
#FDF3DA,520,Light Cream
#B26C29,521,Tiger Eye
#E79002,523,Autumn Gold
#220327,524,Dk. Navy
#34481E,525,English Green
#113675,526,Cobalt Blue
#78143C,534,Purple Ice
#7D262A,535,Burgundy
#111408,538,Forest Green
#FFFF00,542,Gold / Yellow
#E10000,561,Lipstick
#FFB435,562,Spice
#F3A001,567,Butterfly Gold
#E66D00,568,Cinnamon
#165F28,569,Garden Green
#378C37,570,Bright Green
#088E6C,571,Deep Aqua
#100A7C,572,Blue Ribbon
#35693D,580,Mint Julep
#963C46,607,Deep Rose
#95958B,610,GS Gray
#8B1E01,614,Chestnut
#E9BD96,619,Dusty Peach
#CD3900,621,Sunset
#F8D48A,622,Blond
#777113,630,Moss Green
#1C6F51,640,Med. Aqua
#262345,643,Arctic Sky
#69373C,670,Sepia
