color,number,comment
#FFFFFF,101,White
#000000,102,Black
#F4F8FA,103,Antique White
#EDE9DE,104,Natural
#FCD4DE,106,Bisque
#F1D0CE,107,Light Coral
#FFB9AA,109,Peach
#E78573,110,Melon
#FE6442,112,Tex Orange
#AF1E2D,115,Red Brick
#D1BF91,117,Flax
#E3D9CA,118,Ecru
#E6D7BD,120,Light Beige
#B38534,121,Light Gold
#FAEA9F,123,Maize
#FAD247,124,Old Gold
#FAE565,125,Spark Gold
#FEB8CD,127,Rose Tint
#EF5B84,130,Dark Pink
#D66794,131,Sweet Pink
#DD3E7A,132,Berry Pink
#D86096,136,Bright Pink
#F56ABB,137,Ruby Rose
#EF4390,138,Medium Rose
#EF3D65,139,Russet
#93092B,140,Cherrystone
#F4A0B1,141,Mauve
#A50544,144,Jasper
#C0004E,145,Dark Cherry
#F33E63,147,Deep Coral
#E92132,148,Christmas Red
#E72140,149,Antique Red
#DD1F42,150,Cherry Delight
#F0EDA8,151,Pale Yellow
#EAE17B,152,Lemon
#EEE25B,154,Yellow
#F7D946,156,Pollen Gold
#F2CE68,159,Soft Gold
#FCB62F,161,Nectar
#F18742,162,Almond
#F6A15E,163,Honey
#ED9575,165,Rust
#F1DAD6,166,Pink Flesh
#F4E3DD,167,Illusions
#FD9F90,168,Portland Orange
#F7766D,170,Honeysuckle
#E07201,171,Terra Cotta
#E2E475,172,Lemonade
#B5B487,174,lt Yellow Green
#857133,175,Autumn Green
#CED649,178,light lime
#97945F,180,Sage Green
#767E4E,181,Palm Green
#5E5B38,182,Dark Sage Green
#426A64,184,Evergreen
#DADF56,201,Celery
#80BA01,202,Peapod
#7CB858,203,Meadow
#3FD358,204,Emerald
#B4D4C9,208,Sea Foam
#467E51,213,Holly Green
#DFEEAE,214,Pastel Green
#2FAA34,216,Dark Emerald
#25C74E,217,Green
#3CBD50,218,Shamrock
#44C097,219,Dark Grass Green
#A4C464,222,Avocado
#99AF49,223,Dark Avocado
#458261,225,Pine Green
#6AAEEB,229,Dusty Navy
#305FAB,231,Bright Navy
#4178B5,232,Blue Ribbon
#4864BC,233,Dark Periwinkle
#41456C,234,Navy
#4A588D,235,Medium Navy
#C0D1E8,239,Light Sky Blue
#7EADD6,241,Oriental Blue
#3F6B98,244,Ocean Blue
#5B78CC,245,Paris Blue
#4684B3,246,Country Blue
#2E348E,249,Blueberries
#4F93E2,250,Blue
#CCBDD8,253,Violet
