color,number,comment
#DEA696,100,Pink
#F5A3A6,101,Cerise
#ED8CA6,102,Petunia
#DECFBA,103,Flesh
#BA425E,104,Fuchsia
#ED8594,105,Azalea
#E3ADB5,106,Dusty Rose
#D18785,107,Cabernet
#E8BAB3,108,Warm Pink
#F0DED4,109,Light Pink
#E6CCC9,110,Blush
#F0C2C7,111,Petal Pink
#EDC2C9,112,Lady Pink
#E399A1,113,Rose
#CC6387,114,Ruby
#AD6B75,115,Berry
#DE7899,116,Hot Pink
#FC9E9C,117,Easter Pink
#D1788C,118,Carnation
#E399A1,119,Rost Tint
#D9A199,120,Salmon
#FAABBA,121,Wild Pink
#996370,122,Perfect Ruby
#CC6387,123,Passion
#F5D9D1,124,Whisper Pink
#F2D4D6,125,Soft Pink
#AD6B75,126,New Berry
#EDD1C2,127,Floral Pink
#AD6B75,128,Passion Rose
#9E6166,129,Marsh Rose
#946E70,131,Carnival Burgundy
#E37382,132,Flamingo Pink
#C74D59,200,Foxy
#BA615C,201,Regal
#BD5747,203,Red
#CC6370,204,Blossom
#CC6387,205,Punch
#A84F4F,206,Apple
#BA4F4F,208,Wild Fire
#B3544F,209,Scarlet
#B5595E,210,Candy Apple
#A66961,211,Cranberry
#8C595E,212,Black Rose
#D16B70,213,Cherry
#C74D59,214,Fire Red
#CC6370,215,Hot Red
#A66961,216,Red Maroon
#E88782,217,Japonica
#D1788C,218,Festive Pink
#CC6370,219,Spectrum Red
#E37373,220,Egyptian Pink
#BD5747,221,Copper Glow
#B0664F,222,Fire Clay
#B55C42,297,Fury
#8F5E4D,300,Burgundy
#7D5C59,301,Maroon
#8C6654,302,Wine
#785E57,303,Dark Maroon
#87696B,304,Mocha
#BF7A6B,305,Carmine
#EDD1C2,310,Bisque
#E8BAB3,311,Light Peach
#E39987,312,Peach
#DB9682,313,Melon
#D1806E,314,Dark Melon
#E8B596,315,Tawny
#EBAD94,316,Papaya
#EDBAB0,317,Fantasy Pink
#E3B3B0,318,Coral Pink
#D9A199,319,Rosy Flesh
#F5B0A3,320,Blushing Pink
#E3BAA3,321,Charade
#EDBAB0,322,Damask Rose
#CC9494,323,Misty Rose
#946E70,324,Sherry
#735C63,325,Intense Maroon
#8C707D,401,Lavender
#BA8FA6,402,Dark Violet
#8F73A6,403,Purple
#F0C2C7,404,Violet
#8F8294,405,Lilac
#A8A1B8,406,Tulip
#8F8294,407,Mauve
#876178,408,Hyachinthe
#8C707D,409,Mulberry
#D6C4BF,410,Orchid
#D4B5BD,411,Violet Mist
#756978,412,Port Wine
#8C707D,413,Dark Purple
#696187,414,Asian Grape
#6E6366,415,Blue Violet
#70618F,416,Purple Twist
#877D99,417,Purple Mist
#707885,418,Antarctic Blue
#8F9CB8,419,Lake Blue
#ABB5CC,420,Cotton Candy
#736E6B,421,Cool Blue
#6E6375,422,Light Midnight
#8C707D,423,Velvet Maroon
#967A99,424,Rich Plum
#B87D8F,425,Plum
#AD99A1,426,Satin Wine
#BAA396,427,Clove Dust
#C4BABA,428,Tanberry
#BFB0BA,429,Mistic Lilac
#AB8FB5,430,Iris Patel
#8A7596,431,Chianti
#877D99,432,Tuscany Blue
#756978,433,Deep Blue
#736B99,501,Royal
#ADBACF,502,Pearl Blue
#8F91B0,503,Pool Blue
#6E6194,504,Blue Suede
#7896CC,505,Bright Blue
#6675AB,506,Jay Blue
#7D7DB0,507,Postal Blue
#736B99,508,Sapphire
#70618F,509,Titanic Blue
#738280,511,Deep Ocean
#8A9EA1,512,Winter Blue
#7D8FA3,513,Delft
#63574A,514,Midnight Blue
#6E6366,515,Fleet Blue
#57A3C7,516,Light Aqua
#7D7DA3,518,Calico
#BDC2D1,521,Satin Blue
#C4D9D6,522,Baby Blue
#A8BFD1,523,Sky Blue
#738AB3,524,Solar
#8799C9,525,April Blue
#8F9CB8,526,Copen
#758096,527,Dusty Blue
#756978,528,Blue Ink
#696B78,529,Sailor
#6B667D,530,Eclipse
#736E6B,531,Light Navy
#785E57,532,Navy
#786952,533,Old Navy
#C9D1CF,534,Ice Blue
#BAC9D1,535,Pastel Blue
#B3BDC4,536,French Blue
#788096,537,Imperial Blue
#707885,538,Bristol
#ABD4D9,539,Tahiti
#94C7D6,540,Tropical Sky
#9CA6A3,541,Stormy Blue
#7D6E5E,542,Cosmic Navy
#696B78,543,Smokey Navy
#94C7D6,570,Mint Julep
#57A3C7,571,Aqua
#6987B3,572,California Blue
#4F8AC2,573,Pacific
#5E759E,574,Solar
#738AB3,575,Atlantic
#8F9CB8,576,Tropicana
#8FB0BF,577,Misty
#57A3C7,578,Mediterranean
#7A99B8,579,Pottery Blue
#707885,580,Napoleon
#786B61,581,Calico Teal
#6B6B61,582,Florentine
#78A3AB,583,Surf Blue
#6B9EAB,584,Unicorn
#66828C,585,Marine Blue
#7AA1AB,586,Blue Canyon
#9CB5B3,587,Sprite
#C9E3CF,588,Frost Blue
#619C91,589,Billiard Green
#70ADB0,590,Green Flash
#C2E6CF,591,Sunlit Sea
#6E9687,592,Aspen
#668C87,593,Cilantro
#80917D,594,Field Green
#859687,595,Fern
#7D7866,596,Stone Green
#738280,597,Spruce
#6BB5B0,600,Jade
#789994,601,Turqoise
#668282,602,Oceanic
#708F70,603,Emerald
#698C63,604,Green Pepper
#758A94,605,Country Blue
#85B8A3,606,Peppermint
#A3DBC7,607,Green Oyster
#52968F,608,Peacock
#636366,609,Winter Green
#7D7866,610,Newport
#96C2BA,611,Sea Mist
#7DABAB,612,Light Turquoise
#7DABAB,613,Mystic
#879CA1,614,Teal
#696B6B,615,Dark Teal
#696B6B,616,Forest
#85C2AB,617,Pastel Aqua
#ABCFB5,618,Sea Breeze
#8FAD5C,620,Ming
#667866,621,Green
#80807A,622,Ever Green
#699E66,623,Kelly
#78AB69,624,Green Grass
#A1C478,625,Erin Green
#A1C499,626,Spring Green
#BFD4AB,627,Mint
#85B8A3,628,Sea Green
#669682,629,Pine
#94A396,630,Moss
#859687,631,Weed
#757359,634,Hunter Green
#666B54,635,Holly
#7D7866,636,Olive
#7A8566,637,Harbor Green
#8A8059,638,Petal Green
#B3B5A8,639,Palm Leaf
#918F80,640,Willow Creek
#8F8F78,641,Olive Drab
#8A8A61,642,Palmetto
#BAB873,643,Sun Green
#A1966E,644,Foliage Green
#7D755C,645,Desert Cactus
#4A7D70,646,Garden Green
#EBD6B5,647,Champagne
#78A38C,648,Isle Green
#ABC273,650,Pastoral Green
#7D915E,652,Light Green
#639E82,653,Grass Harper
#668282,654,Dark Emerald
#9EBF8A,655,Nile
#78B07D,656,Easter Green
#70B580,657,Sap
#87AB4D,658,Glitter Green
#94947A,659,Pear Green
#91998F,660,Secret Garden
#6B706B,661,Ivy
#7A966B,662,Envy
#B3BF82,663,Snowpea
#9EB08C,664,Peel Green
#B3B382,665,Spring Burst
#7D9C70,667,Merry Green
#829C7D,668,Freemont
#A19975,670,Cove Green
#B5BA8F,671,Bright Green
#D1CCA8,672,Frost Green
#C2AD6B,673,Celery
#D4DBAD,674,Pastel Green
#D1BA91,675,Pistachio
#8C8773,676,Cypress
#998763,677,Fall Green
#D1BA91,678,Maize
#B3967D,679,Beige
#B5BA8F,681,Monteray
#706B5E,683,Cape Green
#878F7D,684,Boffin Green
#808C85,685,Lunar Green
#808759,686,Barbado
#828061,687,Essex
#736E6B,688,Hedge
#857866,689,Congo Green
#8C998C,690,Village Green
#D6BD91,691,Antic Penny
#D1B359,692,Yellow Gold
#D6B56B,693,Rustic Gold
#CCAB80,694,Root Gold
#F0DB69,695,Moonlight
#F0C44F,697,Star Gold
#6B6B61,698,Terrace
#D6C945,700,Canary
#D9DE94,701,Lemon
#C99959,702,Yellow Ochre
#DB9E54,703,Excel Gold
#EBB04D,704,Mango
#F0C44F,705,Mums
#E0B54F,706,Goldenrod
#FC8F4F,707,Marigold
#EB995C,708,Honeydew
#EB785C,709,Popsicle
#D18266,710,Orange
#D6BD91,711,Cameo
#E3CC91,712,Vanishing Yellow
#FAC78A,713,Banana
#EDBA61,714,Tangerine
#C2A86B,715,Ginger
#C2A86B,716,Old Gold
#D4DBAD,717,Creamy Yellow
#D6C95C,718,Daffodil
#EDAD70,719,Honey
#DEAD59,720,Mustard
#CC9959,721,Gold
#E38754,724,Sunset
#DE8C5C,725,Golden Poppy
#F0E3B8,726,Butter
#F5BD4A,727,Wild Flower
#D18757,728,Sunkist
#C7AB7D,729,Light Topaz
#DEB880,730,Topoz
#BFA88C,731,Amber beige
#998763,732,Dark Beige
#C7B096,733,Sea Shell
#D9B599,734,Opal
#D4B8A6,735,Ecru
#8F8294,737,Ducky Mauve
#D6B56B,738,Centennial Gold
#E8D9BF,739,Wheat
#DED1A6,740,Vanilla Cream
#E3CC80,741,Corn Silk
#F7BA54,742,Apricot
