color,number,comment
#1C2730,V11000,Black
#F5F0E3,V11001,Bright White
#F5F2E3,V11002,Bright White
#F0EDE4,V11003,Natural White
#DFDBD2,V11010,Vapor
#AEAFAB,V11011,Traditional Gray
#C6D0D6,V11012,Pastel Blue
#FDDDD6,V11013,Rosewater
#FBBFC3,V11014,Orchid Pink
#F7C0BE,V11015,Desert Bloom
#FAB0AE,V11016,Emily Pink
#F9C8AC,V11017,Peach
#FABAAB,V11018,Flesh Pink
#FABAAB,V11019,Flesh Pink
#FAA68C,V11020,Flamingo
#A73F10,V11021,Old Dark Tex Orange
#F5EE7E,V11022,Medium Yellow
#F6ED48,V11023,Lemon
#FEC81F,V11024,Buttercup
#E0AA0F,V11025,Pollen Gold
#FED980,V11026,Glow
#C4DAE2,V11027,Cadet Blue
#76AADC,V11028,Caribbean Blue
#3A75C4,V11029,Dolphin Blue
#AFBDDC,V11030,Lake Blue
#EAACC5,V11031,Carnatio
#AA74C0,V11032,Iris
#66136D,V11033,Mulberry
#A60445,V11034,Burgundy
#661F2B,V11035,Warm Wine
#5C2625,V11036,Dark Sepia
#D72A29,V11037,Tuxedo Red
#9B311C,V11038,Red Bittersweet
#B12726,V11039,Red Berry
#8C8A85,V11040,Silvery Gray
#676D6F,V11041,Metal
#345686,V11042,Imperial Blue
#1C2730,V11043,Black
#15203D,V11044,Navy
#86DFD2,V11045,Seafrost
#7BD2B6,V11046,Pale Green
#B4E2C0,V11047,Mint
#7FBB00,V11048,Green Dust
#AADD6E,V11049,Spruce
#349F36,V11050,Emerald
#007B3E,V11051,Kelly
#006D66,V11052,Imperial Aqua
#F9C8AC,V11053,Peach
#B08971,V11054,Tawny Birch
#F4DBAC,V11055,Cream
#AB7540,V11056,Wicker
#B38360,V11057,Fawn
#613413,V11058,Mushroom
#493532,V11059,Egyptian Brown
#C2B5A6,V11060,Platinum
#FAE08B,V11061,Wheat
#8E8B7A,V11062,Pale Grey
#777464,V11063,Medium Green / Yellow
#FAE610,V11064,Daffodil
#FCA412,V11065,Mango
#F5E487,V11066,Pale Yellow
#FBE480,V11067,Sunshine
#FAD716,V11068,Canary
#FCD016,V11069,Manila
#F3CE69,V11070,Yellow Gold
#F0EDE4,V11071,Natural White
#E0F2E5,V11073,Billowing Sail
#B4D2E7,V11074,Ice Blue
#9ABBDF,V11075,Baby Blue
#2F348E,V11076,Blue
#FA5703,V11078,Paprika
#007B3E,V11079,Kelly
#E780C9,V11080,Medium Pink
#C20437,V11081,Wildfire
#F9E7D6,V11082,Ivory
#F9DF16,V11083,Moonbeam
#DDCCA5,V11084,Sea Mist
#DFD9CE,V11085,White Sand
#E9E2D7,V11086,Palest Ivory
#D4CEC5,V11087,Pearl Gray
#57CAC2,V11088,Aquamarine
#6AC9DC,V11089,Basic Turquoise
#00B3AA,V11090,M. D. Green
#00839B,V11091,Dark Aqua Green
#C4DAE2,V11092,Cadet Blue
#2EC8D5,V11093,Indian Ocean Blue
#2AC5DA,V11094,Periwinkle
#00AEC8,V11095,Aquamarine
#007AA7,V11096,Pretty Blue
#BBEAD6,V11097,Bleached Aqua
#C9D7A3,V11099,Pastel Green
#C9D7A3,V11100,Pastel Green
#349F36,V11101,Emerald
#225B34,V11103,Holly
#D9DFB4,V11104,Lime Cream
#B2AC71,V11105,Silver Fern
#878906,V11106,Crescent Moon
#FB8180,V11107,Shell Pink
#FFA2B2,V11108,Dusty Rose
#E22982,V11109,Ruby Glint
#E22982,V11110,Ruby Glint
#EACBCF,V11111,Light Pink
#4F2271,V11112,Purple Accent
#F2C7C4,V11113,Pink Mist
#F1C5B0,V11114,Bisque
#F8D2CD,V11115,Crystal Pink
#FBBFC3,V11116,Orchid Pink
#F4547E,V11117,Begonia
#929694,V11118,Banner Gray
#B26B6F,V11119,K. A. Bronze
#F4C9C9,V11120,Crystal Pink
#FCBFC9,V11121,Pink
#5D037B,V11122,Purple Shadow
#F8E7AB,V11123,Tusk
#FBE14D,V11124,Star Gold
#FCD016,V11125,Manila
#C19061,V11126,Light Bronze
#F4D2B0,V11127,Alesan
#D2BE91,V11128,Taupe
#493532,V11129,Egyptian Brown
#40312C,V11130,Espresso
#5B5B59,V11131,Dark Grey
#93C7E1,V11132,Pale Blue
#3A75C4,V11133,Dolphin Blue
#0038A8,V11134,Fire Blue
#FBE34D,V11135,Lemon
#B5A899,V11136,String
#FDB415,V11137,Merit Gold
#D7CCAF,V11138,Seashell
#939A06,V11140,Tamarack
#BD8787,V11141,Light Pink
#E1CCB9,V11142,Whisper Pink
#5D78CB,V11143,Jay Blue
#755526,V11144,Light Cocoa
#593C2B,V11145,Brown
#F3422D,V11146,Saffron
#CF1326,V11147,Foxy Red
#EF98A4,V11148,Medium Pink
#ECD4BC,V11149,Ecru
#E3E585,V11150,Pebblestone
#FC9E71,V11152,Cadmium Orange
#D2D8D9,V11153,Illusion Blue
#E6063A,V11154,Cerise
#FDAD57,V11155,Chamois
#8C914F,V11156,Medium Green / Yellow
#827610,V11157,Desert Cactus
#613413,V11158,Mushroom
#C7A10E,V11159,Black Eyed Susie
#5E98AC,V11160,Wonder Blue
#004053,V11161,Deep Windsor
#004153,V11162,Deep Windsor
#1E1D78,V11166,Royal
#002B7F,V11167,Blue Suede
#BBE860,V11168,Sharp Green
#7EBB25,V11169,Medium Green
#578F15,V11170,Meadow
#FDDA57,V11171,Star Gold
#FEC81F,V11172,Buttercup
#CC7A02,V11173,Almond
#7E2D24,V11174,Burgundy
#6E86A9,V11175,Slate Blue
#0090D7,V11176,Baltic Blue
#0052BA,V11177,Ocean Blue
#FB6C07,V11178,Orange
#C13928,V11179,Dark Rust
#F9E715,V11180,Daffodil
#B01E2D,V11181,Red Berry
#8C2532,V11182,Burgundy
#940143,V11183,Cranberry
#C20437,V11184,Wildfire
#006D66,V11185,Imperial Aqua
#D11956,V11186,Red
#D00057,V11187,Dark Pink
#86005D,V11188,Dark Red
#978C29,V11190,Medium Yellow / Green
#A28305,V11191,Autumn Green
#A47F15,V11192,Bullion
#C13928,V11221,Dark Rust
#FCE116,V11223,Canary
#FBE14D,V11224,Star Gold
#E0AA0F,V11225,Pollen Gold
#FEB778,V11226,Buff Orange
#8DB0AE,V11227,Pale Blue
#ECC5DD,V11232,Violet
#482B58,V11233,Blackberry
#CB0356,V11234,Dark Pink
#B77290,V11235,Rose Dust
#482836,V11236,Plum
#923438,V11238,Dark Orange / Red
#686764,V11239,Twilight
#797774,V11240,Charcoal
#31383B,V11241,Black
#2C265C,V11242,Blue Ink
#112051,V11243,Light Navy
#36343A,V11244,Black
#6FCE9C,V11245,Seafoam
#00B3AA,V11246,M. D. Green
#00B27B,V11247,Peppermint
#BBE860,V11248,Sharp Green
#1FB53B,V11249,Harvest Green
#008651,V11250,Dark Green
#009D4B,V11251,Vibrant Green
#27696D,V11252,Deep Atlantic
#BB7531,V11253,Toast
#FAA68C,V11254,Flamingo
#593F3E,V11259,Dark Brown
#EADF97,V11260,Wheat
#FED980,V11270,Glow
#F77F00,V11278,Pumpkin
#009887,V11279,Peppermint
#007B5F,V11280,Jade
#A80C36,V11281,Atom Red
#54B7C8,V11289,Capri
#004A4F,V11290,Blue Spruce
#006A77,V11291,Mallard Blue
#CAE8DF,V11292,Light Blue
#007374,V11293,M. D. Green
#008BB2,V11294,Blue / Green
#0098B4,V11295,Dark Blue / Green
#004E6E,V11296,Peacock
#0090D7,V11297,Baltic Blue
#008D83,V11298,Brite Jade
#47D7C3,V11299,Aqua Pearl
#00C993,V11301,Bluestone
#99E5B2,V11302,Pale Aqua
#243B2E,V11303,Dark Army Green
#004A3F,V11304,Dark Green
#D5CFA3,V11305,Light Green / Yellow
#9B9F74,V11306,Arcadian Green
#F02C2D,V11307,Scarlet
#FE78A8,V11309,Wild Pink
#AB0065,V11310,Hot Peony
#B491D2,V11311,Pale Purple
#46235F,V11312,Purple Accent
#46245A,V11313,Purple Accent
#FBB2B7,V11315,Pink Mist
#FAB0AE,V11317,Emily Pink
#5B5B59,V11318,Dark Grey
#D46B9D,V11319,Hot Pink
#552346,V11320,Medium Purple
#FFA0BE,V11321,Petal Pink
#2C1366,V11322,Dark Purple / Navy
#5C4724,V11329,Dark Olive Green
#6757BD,V11330,Violet
#66136D,V11334,Mulberry
#6757BD,V11335,Violet
#593F3E,V11336,Dark Brown
#A3916A,V11338,Olive Drab
#878906,V11340,Crescent Moon
#B26B6F,V11341,K. A. Bronze
#2C265C,V11343,Blue Ink
#AE936E,V11344,Beige
#B0A80A,V11350,Green / Gold
#E10747,V11354,Cerise
#424817,V11357,Green
#84494A,V11358,Dark Brown
#D8B511,V11359,Pollen Gold
#7896B2,V11360,Country Blue
#36405C,V11362,Light Midnight
#9BA2B8,V11363,Purple Cloud
#25557E,V11364,Lake Blue
#36405C,V11365,Light Midnight
#342875,V11366,Violet Blue
#3E9032,V11369,Kelly
#034A31,V11370,Evergreen
#005952,V11371,Green
#661F2B,V11374,Warm Wine
#6593BD,V11375,Pale Purple
#00386A,V11376,Salem Blue
#F74A03,V11378,Sunkist
#00AF99,V11380,Bluestone
#951737,V11381,Cabernet
#4E203A,V11382,Dark Maroon
#AC0150,V11383,Cherrystone
#782D36,V11384,Wine
#782D36,V11385,Wine
#482836,V11386,Plum
#7F658A,V11387,Light Grape
#552346,V11388,Medium Purple
#6D2041,V11389,Brushed Burgundy
#005042,V11390,Dark Green
#256759,V11391,Green Forest
#4F6E5E,V11392,Harbor Green
#404A26,V11393,Hedge
#4A5929,V11394,Green / Yellow
#234636,V11395,Mitchell Green
#556956,V11396,Water Lilly
#004437,V11397,Evergreen
