color,number,comment
#F8E8E8,1101,Light Pink
#F8DBDF,1102,Soft Pink
#FDA0AB,1103,Strawberry Cream
#FE86A1,1104,Pink Mist
#EE6788,1105,Med Rose
#DC4161,1106,Pansy Pink
#DA9092,1107,Dusty Rose
#B8575E,1108,Dark Rose
#A44A54,1109,Bright Rose
#943843,1110,Deep Rose
#FFC2C7,1111,Soft Fuschia
#D38EA1,1112,Light Fuschia
#97FBBD,1113,Ice Pink
#EA3174,1114,Hot Pink
#DA5084,1115,Wild Pink
#B32783,1116,Deep Pink
#9F0760,1117,Dark Fuschia
#E6B4C9,1118,Soft Mauve
#E597C7,1119,Light Mauve
#C56A93,1120,Med Mauve
#CF66A4,1121,Deep Mauve
#A11A80,1122,Deep Passion
#800158,1123,Light Burgundy
#6E0045,1124,Dark Burgundy
#EFE8DC,1125,Light Peach
#FDD0B3,1126,Opal Mist
#FA9F8D,1127,Flesh Pink
#DB5E64,1128,Bashful Pink
#B85940,1129,Rust Pink
#F63E5C,1130,Watermelon
#DBB2A5,1131,Soft Mocha
#D18F92,1132,Med Mocha
#C57679,1133,Deep Mocha
#FFCCB0,1134,Pink Snow
#F9A179,1135,Sugar Plum
#F78769,1136,Charmed Peach
#FF8564,1137,Light Tangerine
#FE844E,1138,Soft Tangerine
#FF7A39,1139,Medium Tangerine
#F1670F,1140,Dark Tangerine
#FB440C,1141,Deep Tangerine
#FDCFB9,1142,Light Coral
#F1B3A6,1143,Soft Coral
#9B8181,1144,Bright Coral
#E06240,1145,Dark Coral
#C52510,1146,Bright Red
#C2112A,1147,Satin Red
#C0023C,1148,Deep Red
#6E1437,1149,Plush Velvet
#4F1126,1150,Evening Brandy
#F1CFD0,1151,Silky Pink
#F0A9B8,1152,Cotton Candy
#FABBB2,1153,Angora Rayon
#F97980,1154,Pink Currant
#F67790,1155,Carnation Pink
#E2A0B2,1156,Soft Plum
#C66C82,1157,Med Plum
#6C0240,1158,Dark Plum
#D81313,1159,Foxy Red
#D4071A,1160,Poppy Red
#FEE5E4,1161,Crystal Pink
#FFCBCB,1162,Pink Crystal
#FDB2B9,1163,Rose Wine
#FE777E,1164,Light Punch
#D55353,1165,Medium Punch
#CB3939,1166,Dark Punch
#A8101D,1167,Christmas Red
#B50558,1168,Wild Fuschia
#D21C19,1169,Scarlet Red
#C61728,1170,Sangria
#8B061C,1171,Divine Wine
#D5637B,1172,Barely Rose
#FDF7F0,1173,Pearl
#FCE6D8,1174,Milky Way
#F7B392,1175,Apricot
#FA9D65,1176,Light Orange
#FA7B34,1177,Medium Orange
#EC4008,1178,Deep Orange
#DD0202,1179,Dark Orange
#D8006B,1180,Fuschia
#EC95A3,1181,Classic Wine
#B8092A,1182,Calypso Red
#C25266,1183,Berry Red
#C1082B,1184,Midnight Red
#FDFEE2,2101,Cream Silk
#FEEFB2,2102,Snow Pearl
#FFCC7C,2103,Light Yellow
#FDBE5B,2104,Medium Yellow
#FFB03F,2105,Golden Honey
#FF9A38,2106,Honeydew
#FF8C38,2107,Mango
